ID_1 ID_2 missing oldID newID Country EthnicGp Sex Family Relationship Father Mother
0 0 0 D D D D D D D D D
MWCP15269719 MWCP15269719 0.00147406 7410651080_R06C01 MWCP15269719 Malawi MALAWI 1 0 0 0 0
MWCP15269666 MWCP15269666 0.00294811 7410651094_R01C01 MWCP15269666 Malawi MALAWI 1 0 0 0 0
MWCP15269669 MWCP15269669 0.00560142 7410651094_R04C01 MWCP15269669 Malawi MALAWI 1 0 0 0 0
MWCP15269683 MWCP15269683 0.0026533 7410651127_R02C01 MWCP15269683 Malawi MALAWI 1 0 0 0 0
MWCP15325633 MWCP15325633 0.00235849 7410731065_R02C01 MWCP15325633 Malawi MALAWI 1 0 0 0 0
MWCP15325628 MWCP15325628 0.00206368 7410731068_R05C01 MWCP15325628 Malawi MALAWI 1 0 0 0 0
MWCP15325648 MWCP15325648 0.00324292 7410731147_R08C01 MWCP15325648 Malawi MALAWI 2 0 0 0 0
MWCP15325653 MWCP15325653 0.00147406 7410758006_R04C01 MWCP15325653 Malawi MALAWI 1 0 0 0 0
MWCP15429071 MWCP15429071 0.00176887 7890085009_R01C01 MWCP15429071 Malawi MALAWI 1 0 0 0 0
MWCP15325620 MWCP15325620 0.0026533 7890085019_R05C01 MWCP15325620 Malawi MALAWI 1 0 0 0 0
MWCP15325612 MWCP15325612 0.00235849 7890085024_R05C01 MWCP15325612 Malawi MALAWI 2 0 0 0 0
MWCP15466563 MWCP15466563 0.021816 7890085113_R04C01 MWCP15466563 Malawi MALAWI 2 0 0 0 0
MWCP15429175 MWCP15429175 0.00324292 7890085123_R08C01 MWCP15429175 Malawi MALAWI 1 0 0 0 0
MWCP15429115 MWCP15429115 0.00383255 7890085128_R08C01 MWCP15429115 Malawi MALAWI 1 0 0 0 0
MWCP15325125 MWCP15325125 0.00176887 7998951047_R04C01 MWCP15325125 Malawi MALAWI 2 0 0 0 0
MWCP15325157 MWCP15325157 0.00176887 7998951064_R04C01 MWCP15325157 Malawi MALAWI 2 0 0 0 0
MWCP15325442 MWCP15325442 0.000884434 7998951085_R03C01 MWCP15325442 Malawi MALAWI 2 0 0 0 0
MWCP15325455 MWCP15325455 0.0604363 7998951102_R05C01 MWCP15325455 Malawi MALAWI 1 0 0 0 0
MWCP15325280 MWCP15325280 0.00471698 7998969056_R03C01 MWCP15325280 Malawi MALAWI 1 0 0 0 0
MWCP15325179 MWCP15325179 0.0114976 7998969104_R06C01 MWCP15325179 Malawi MALAWI 1 0 0 0 0
MWCP15325311 MWCP15325311 0.00442217 7998969117_R07C01 MWCP15325311 Malawi MALAWI 2 0 0 0 0
MWCP15325312 MWCP15325312 0.00206368 7998969117_R08C01 MWCP15325312 Malawi MALAWI 1 0 0 0 0
MWCP15466386 MWCP15466386 0.00176887 7998969118_R07C01 MWCP15466386 Malawi MALAWI 1 0 0 0 0
MWCP15429373 MWCP15429373 0.00117925 7998969123_R07C01 MWCP15429373 Malawi MALAWI 1 0 0 0 0
MWCP15429295 MWCP15429295 0.0026533 8077740002_R08C01 MWCP15429295 Malawi MALAWI 2 0 0 0 0
MWCP15466626 MWCP15466626 0.00147406 8077740018_R01C01 MWCP15466626 Malawi MALAWI 2 0 0 0 0
MWCP15466632 MWCP15466632 0.00648585 8077740018_R06C01 MWCP15466632 Malawi MALAWI 1 0 0 0 0
MWCP15429440 MWCP15429440 0.00471698 8077740021_R07C01 MWCP15429440 Malawi MALAWI 2 0 0 0 0
MWCP15429400 MWCP15429400 0.00117925 8077740038_R02C01 MWCP15429400 Malawi MALAWI 2 0 0 0 0
MWCP15466300 MWCP15466300 0.00324292 8089783002_R08C01 MWCP15466300 Malawi MALAWI 2 0 0 0 0
MWCP15429084 MWCP15429084 0.00235849 8089783011_R04C01 MWCP15429084 Malawi MALAWI 2 0 0 0 0
MWCP15429184 MWCP15429184 0.00206368 8089783014_R01C01 MWCP15429184 Malawi MALAWI 2 0 0 0 0
MWCP15429185 MWCP15429185 0.00235849 8089783014_R02C01 MWCP15429185 Malawi MALAWI 2 0 0 0 0
MWCP15466268 MWCP15466268 0.00353774 8089783027_R03C01 MWCP15466268 Malawi MALAWI 2 0 0 0 0
MWCP15429010 MWCP15429010 0.0380307 8089783037_R03C01 MWCP15429010 Malawi MALAWI 1 0 0 0 0
MWCP15429384 MWCP15429384 0.00117925 8089783039_R02C01 MWCP15429384 Malawi MALAWI 2 0 0 0 0
MWCP15466228 MWCP15466228 0.00353774 8089783086_R04C01 MWCP15466228 Malawi MALAWI 2 0 0 0 0
MWCP15429348 MWCP15429348 0.00235849 8089783087_R08C01 MWCP15429348 Malawi MALAWI 2 0 0 0 0
MWCP15466254 MWCP15466254 0.00176887 8089783101_R05C01 MWCP15466254 Malawi MALAWI 1 0 0 0 0
MWCP15466205 MWCP15466205 0.0176887 8089783120_R01C01 MWCP15466205 Malawi MALAWI 2 0 0 0 0
MWCP15466443 MWCP15466443 0.0026533 8089791021_R02C01 MWCP15466443 Malawi MALAWI 1 0 0 0 0
MWCP15466304 MWCP15466304 0.0168042 8089791023_R04C01 MWCP15466304 Malawi MALAWI 2 0 0 0 0
MWCP15466424 MWCP15466424 0.00147406 8089791070_R08C01 MWCP15466424 Malawi MALAWI 1 0 0 0 0
MWCP15466275 MWCP15466275 0.0194575 8089791121_R02C01 MWCP15466275 Malawi MALAWI 1 0 0 0 0
MWCP15466649 MWCP15466649 0.00737028 8099092021_R07C01 MWCP15466649 Malawi MALAWI 2 0 0 0 0
MWCP15325244 MWCP15325244 0.00383255 8099092032_R03C01 MWCP15325244 Malawi MALAWI 2 0 0 0 0
MWCP15429061 MWCP15429061 0.00353774 8099092040_R01C01 MWCP15429061 Malawi MALAWI 1 0 0 0 0
MWCP15466202 MWCP15466202 0.00206368 8099092122_R06C01 MWCP15466202 Malawi MALAWI 1 0 0 0 0
MWCP15466215 MWCP15466215 0.00206368 8099092154_R02C01 MWCP15466215 Malawi MALAWI 2 0 0 0 0
MWCP15325277 MWCP15325277 0.00147406 8099092167_R08C01 MWCP15325277 Malawi MALAWI 2 0 0 0 0
BFCP15137008 BFCP15137008 0.00147406 6135580002_R01C01 BFCP15137008 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137010 BFCP15137010 0.00117925 6135580002_R03C01 BFCP15137010 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137045 BFCP15137045 0.00353774 6135580025_R05C01 BFCP15137045 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15136997 BFCP15136997 0.00383255 6147054005_R06C01 BFCP15136997 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137055 BFCP15137055 0.000589623 6135580026_R07C01 BFCP15137055 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137108 BFCP15137108 0 6147062064_R01C01 BFCP15137108 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137066 BFCP15137066 0.000294811 6147062093_R02C01 BFCP15137066 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137117 BFCP15137117 0.00825472 6147062120_R02C01 BFCP15137117 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137067 BFCP15137067 0.000294811 6147062093_R03C01 BFCP15137067 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137118 BFCP15137118 0.00412736 6147062120_R03C01 BFCP15137118 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137143 BFCP15137143 0.000884434 6147062061_R04C01 BFCP15137143 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137151 BFCP15137151 0.000884434 6147062078_R04C01 BFCP15137151 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137069 BFCP15137069 0.000294811 6147062093_R05C01 BFCP15137069 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137070 BFCP15137070 0.00117925 6147062093_R06C01 BFCP15137070 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137087 BFCP15137087 0.000294811 6147062094_R06C01 BFCP15137087 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137113 BFCP15137113 0.000884434 6147062064_R06C01 BFCP15137113 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137122 BFCP15137122 0.00795991 6147062120_R07C01 BFCP15137122 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137081 BFCP15137081 0.000884434 6147062091_R08C01 BFCP15137081 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137131 BFCP15137131 0.000884434 6147062119_R08C01 BFCP15137131 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137199 BFCP15137199 0.0106132 6147062021_R02C01 BFCP15137199 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137255 BFCP15137255 0.000884434 6147062024_R02C01 BFCP15137255 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137166 BFCP15137166 0 6147062020_R03C01 BFCP15137166 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137167 BFCP15137167 0.00147406 6147062020_R04C01 BFCP15137167 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137225 BFCP15137225 0.000294811 6147062165_R04C01 BFCP15137225 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137202 BFCP15137202 0.00147406 6147062021_R05C01 BFCP15137202 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137226 BFCP15137226 0.00117925 6147062165_R05C01 BFCP15137226 BurkinaFaso MOSSI 2 0 0 0 0
