Region Country Ethnic_Group Origin Population_Structure Selection_Admixture RegionM
Western_Africa Gambia Jola this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia Manjago this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia Serehule this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia Serere this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia Wollof this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia MandinkaI this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia MandinkaII this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia FulaI  this_study Y Y Western_Africa_Niger-Congo
Western_Africa Gambia FulaII this_study Y Y Western_Africa_Niger-Congo
Western_Africa Mali Bambara this_study Y Y Western_Africa_Niger-Congo
Western_Africa Mali Malinke this_study Y Y Western_Africa_Niger-Congo
Central_West_Africa BurkinaFaso Mossi this_study Y Y Central_West_Africa_Niger-Congo
Central_West_Africa Ghana Akans this_study Y Y Central_West_Africa_Niger-Congo
Central_West_Africa Ghana Kasem this_study Y Y Central_West_Africa_Niger-Congo
Central_West_Africa Ghana Namkam this_study Y Y Central_West_Africa_Niger-Congo
Central_West_Africa Nigeria YRI 1KG Y Y Central_West_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Cameroon Bantu this_study Y Y Central_West_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Cameroon Semi-Bantu this_study Y Y Central_West_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Malawi Malawi this_study Y Y South_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Kenya LWK 1KG Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Kenya Chonyi this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Kenya Kauma this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Kenya Kambe this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Kenya Giriama this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Tanzania Mzigua this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Tanzania Wabondei this_study Y Y East_Africa_Niger-Congo
East_Africa_Niger-Congo_Speakers Tanzania Wasambaa this_study Y Y East_Africa_Niger-Congo
East_Africa_Nilo-Saharan_Speakers Kenya MKK 1KG Y Y East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Sudan Sudanese Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Somalia Somali Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Ari Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Anuak Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Gumuz Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Afar Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Tygray Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Amhara Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Wolayta Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
East_Africa_Nilo-Saharan_Speakers Ethiopia Oromo Pagani_et_al_2012 Y N East_Africa_Nilo-Saharan
South_Africa_KhoeSan_and_Bantu_Speakers Namibia SWBantu Schlebusch_et_al_2012 Y Y South_Africa_Niger-Congo
South_Africa_KhoeSan_and_Bantu_Speakers Namibia Nama Schlebusch_et_al_2012 Y N South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers SouthAfrica SEBantu Schlebusch_et_al_2012 Y Y South_Africa_Niger-Congo
South_Africa_KhoeSan_and_Bantu_Speakers SouthAfrica Amaxhosa Peterson_et_al_2013 Y N South_Africa_Niger-Congo
South_Africa_KhoeSan_and_Bantu_Speakers SouthAfrica Karretjie Schlebusch_et_al_2012  Y N South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers SouthAfrica Khomani Schlebusch_et_al_2012  Y N South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers Namibia Khwe Schlebusch_et_al_2012 Y Y South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers Angola Xun Schlebusch_et_al_2012;Peterson_et_al_2013 Y N South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers Botswana GuiGhanaKgal Schlebusch_et_al_2012 Y N South_Africa_KhoeSan
South_Africa_KhoeSan_and_Bantu_Speakers Namibia Juhoan Schlebusch_et_al_2012;Peterson_et_al_2013 Y Y South_Africa_KhoeSan
Europe Finland FIN 1KG Y Y Eurasia
Europe NorthEurope CEU 1KG Y Y Eurasia
Europe Britain GBR 1KG Y Y Eurasia
Europe Spain IBS 1KG Y Y Eurasia
Europe Italy TSI 1KG Y Y Eurasia
Asia India GIH 1KG Y Y Eurasia
Asia Vietnam KHV 1KG Y Y Eurasia
Asia China CDX 1KG Y Y Eurasia
Asia China CHB 1KG Y Y Eurasia
Asia China CHS 1KG Y Y Eurasia
Asia Japan JPT 1KG Y Y Eurasia
Americas Peru PELII 1KG Y Y Eurasia
