"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"17" "MANJAGO" "main" "<0.01" "1D(2D)" "0.779" "0.985" "1" 0.5 "1758" "(1723-1850)" "0.18" "FULAI" "JOLA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "MANDINKAI" "main" "<0.01" "1D(2D)" "0.806" "1" "1" 0.47 "1574" "(1364-1690)" "0.16" "FULAI" "JOLA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "MALINKE" "main" "<0.01" "2D" "0.91" "1" "1" 0.5 NA NA NA NA NA NA NA NA "1731" "(1672-1832)" "0.24" "FULAI" "FULAII" "320" "(546B-862)" "0.11" "GBR" "BAMBARA"
"19" "FULAII" "main" "<0.01" "2D" "0.939" "1" "1" 0.57 NA NA NA NA NA NA NA NA "1672" "(1610-1848)" "0.23" "FULAI" "MALINKE" "64" "(244B-877)" "0.1" "GBR" "MALINKE"
"21" "BAMBARA" "main" "<0.01" "1D(2D)" "0.901" "1" "1" 0.36 "1381" "(1172-1487)" "0.11" "GBR" "MALINKE" NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "MANDINKAII" "main" "<0.01" "1D(2D)" "0.925" "1" "1" 0.39 "1239" "(1069-1342)" "0.14" "GBR" "JOLA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "WOLLOF" "main" "<0.01" "2D" "0.938" "1" "1" 0.63 NA NA NA NA NA NA NA NA "1617" "(1547-1742)" "0.19" "FULAI" "JOLA" "265B" "(781B-351)" "0.09" "GBR" "JOLA"
"9" "SEREHULE" "main" "<0.01" "1D(2D)" "0.943" "1" "1" 0.36 "1098" "(946-1234)" "0.12" "GBR" "JOLA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "SERERE" "main" "<0.01" "2D" "0.885" "1" "1" 0.41 NA NA NA NA NA NA NA NA "1615" "(1497-1790)" "0.24" "FULAI" "JOLA" "765B" "(1751B-254)" "0.08" "GBR" "JOLA"
"1" "JOLA" "main" "<0.01" "1D" "0.642" "1" "1" 0.08 "218B" "(2919B-1652)" "0.18" "FULAI" "SERERE" NA NA NA NA NA NA NA NA NA NA NA NA NA
