"result" "gen.1date" "proportion.source1" "maxR2fit.1date" "fit.quality.1event" "fit.quality.2events" "bestmatch.event1.source1" "bestmatch.event1.source2" "proportion.event2.source1" "bestmatch.event2.source1" "bestmatch.event2.source2" "gen.2dates.date1" "gen.2dates.date2" "maxScore.2events" "proportion.date1.source1" "bestmatch.date1.source1" "bestmatch.date1.source2" "proportion.date2.source1" "bestmatch.date2.source1" "bestmatch.date2.source2" "JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "SUDANESE" "GUMUZ" "ANUAK" "AFAR" "OROMO" "SOMALI" "WOLAYTA" "ARI" "AMHARA" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA.main.1" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.553315725157737" "0" "0.0292092058553658" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.417475068986897" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.main.2" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.215866679465224" "0.161511381111336" "0.0878012378392388" "0.123177400534392" "0" "0.0846712473960089" "0.0327565378012398" "0.0217820527639572" "0" "0.00389390933181865" "0.00661916840497739" "0.00633982189403794" "0.00559538875968105" "0" "0" "0.0139471042019876" "0.0300401248748171" "0.0226139719222422" "0.0641301253221425" "0" "0" "0.0150864241912094" "0" "0.0158394461257807" "0" "0" "0.0403417709195442" "0" "0" "0" "0" "0.015186506957679" "0" "0" "0.00908448356394754" "0" "0.00934042250845746" "0" "0" "0" "0" "0" "0" "0" "0.00844564498243997" "0" "0" "0.0059291491278402" "0"
"JOLA.main.3" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.160055844088388" "0.272816397763216" "0" "0.0946174448831211" "0" "0.051052179356829" "0.0576700304560576" "0.0314792810982018" "0" "0" "0" "0" "0" "0" "0" "0.00777922989106848" "0.0751531204935473" "0.0194142054480764" "0.0296943275765538" "0.00676540473823121" "0" "0.0323425671837339" "0" "0.0131015022286047" "0" "0" "0.0767896983610276" "0" "0.00602972465508036" "0" "0" "0.00797868558385403" "0" "0" "0" "0" "0.013365618474485" "0" "0" "0" "0.0121464163639387" "0" "0.00533121058610887" "0" "0" "0" "0" "0.0249501901511184" "0.00146692061875747"
"JOLA.main.4" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.24275577886779" "0.271160592036776" "0.145074360341013" "0.0379845699803856" "0.066091670951306" "0.0390058624983084" "0" "0" "0" "0.0144425297415507" "0.0106985338020067" "0" "0.0215799060204467" "0" "0" "0.00354573613444924" "0" "0.00011044914342564" "0.0473058712486926" "0" "0" "0" "0" "0" "0.0441111643662052" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0145345453586512" "0" "0" "0.00257256298041414" "0" "0" "0.0213356296491806" "0" "0" "0" "0.017690236879399" "0" "0" "0" "0"
"JOLA.main.5" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.313895635720041" "0.171213181327931" "0.100663626568406" "0.0102209355727617" "0.0771292044328975" "0" "0.0281616469602912" "0.0626368202323946" "0" "0.028875604600224" "0" "0" "0.022739001735061" "0" "0" "0" "0.00525814062048644" "0" "0.115296630469151" "0" "0" "0.0155706713843855" "0" "5.26471564812385e-05" "0" "0" "0" "0" "0" "0" "0" "0.00856313483444955" "0" "0" "0" "0" "0.00753750055961193" "0.0206966269848759" "0" "0" "0" "0" "0" "0" "0.0062018534140405" "0" "0" "0.00528713742651041" "0"
"JOLA.main.6" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0.0454189936031519" "0" "0" "0" "0" "0" "0.1397890424922" "0.343690693033158" "0" "0.102845498417836" "0" "0.113308566837104" "0.0169879192892459" "0" "0" "0" "0" "0" "0" "0" "0" "0.0249975277814062" "0.022541679804995" "0.0257809373866095" "0" "0.0033355631031136" "0" "0.00163467316896338" "0" "0.0077347447817272" "0.038237362934474" "0" "0.0451254428711702" "0" "0" "0" "0.00516381832106756" "0" "0" "0" "0.00459489361234507" "0.0010222359583991" "0" "0" "0" "0" "0.0387871881571773" "0" "0.0100908672599756" "0.00253491761546756" "0" "0" "0.00394966631045146" "0" "0.00242776725996136"
"JOLA.main.7" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.498335042967713" "0" "0.0566537092063788" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.445011247825908" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.main.8" "one-date" "73.7616955297075" "0.18" "0.642039958309841" "0.999715987010165" "0.999965892548036" "FULAI" "SERERE" "0.49" "MANDINKAI" "MALINKE" "1.00004969671047" "94.9761549435555" "0.0806306490536293" "0.44" "MANJAGO" "WOLLOF" "0.17" "FULAI" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.212960066193243" "0.173218783704315" "0.088338129551412" "0.116587461130354" "0" "0.0836622280901582" "0.032181286710509" "0.0212200128555661" "0" "0.00356234512576635" "0.00673724823300668" "0.00559339329178133" "0.005021605542046" "0" "0" "0.0139632709923407" "0.0305401382920576" "0.0247191839254516" "0.0628736554677283" "0" "0" "0.0147898806867969" "0" "0.0164694773554906" "0" "0" "0.0403919717417756" "0" "0" "0" "0" "0.0155301932338908" "0" "0" "0.0089079792764355" "0" "0.00915087193399582" "0" "0" "0" "0" "0" "0" "0" "0.0080062986291714" "0" "0" "0.0055745180367076" "0"
"JOLA.null.1" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.343525767672894" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0638867346155832" "0" "0.592587497711523" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.null.2" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.216143238680303" "0.269129783549677" "0.0638825300354502" "0.071075975058988" "0" "0.0888641663046742" "0.0282728574807304" "0.014533065996919" "0" "0.00101212405395317" "0.00654439597586329" "0.00486355694003423" "0.00150331149058936" "0" "0" "0.00937218037579704" "0.0309740120827908" "0.022106099946062" "0.0764814532381414" "0" "0" "0.0122751684559196" "0" "0.013162092551496" "0" "0" "0.0354174359237523" "0" "0" "0" "0.00691085614740412" "0.0156132170943583" "0" "0" "0.00550214197993424" "0" "0.0063603366371623" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
