"result" "gen.1date" "proportion.source1" "maxR2fit.1date" "fit.quality.1event" "fit.quality.2events" "bestmatch.event1.source1" "bestmatch.event1.source2" "proportion.event2.source1" "bestmatch.event2.source1" "bestmatch.event2.source2" "gen.2dates.date1" "gen.2dates.date2" "maxScore.2events" "proportion.date1.source1" "bestmatch.date1.source1" "bestmatch.date1.source2" "proportion.date2.source1" "bestmatch.date2.source1" "bestmatch.date2.source2" "JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA.nolocal.1" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.603019300695804" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0323768104048385" "0" "0.364603888899357" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.nolocal.2" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.230270049261354" "0.174773878429435" "0.0680356447962383" "0.124498034326753" "0" "0.090774595296916" "0.0318710958830833" "0.0192571179152663" "0" "0.000290639103735904" "0.00783038857153672" "0.00717575357774692" "0.0019258893230439" "0" "0" "0.0126426418628779" "0" "0.0172397682908395" "0.0149358829921226" "0.0332744287498516" "0.0223722834954179" "0" "0" "0" "0.0605364983483113" "0" "0.0349235298663147" "0" "0" "0" "0.0149645530732017" "0.0157136856385314" "0" "0" "0.0065718460238344" "0" "0.00768741943587721" "0" "0" "0" "0" "0" "0" "0" "0.00243437573771058" "0" "0" "0" "0"
"JOLA.nolocal.3" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.165596501160443" "0.255072202152003" "0" "0.095620683868264" "0" "0.0807503001242819" "0.046856553362146" "0.00106467672609302" "0" "0" "0" "0" "0" "0" "0" "0.00016915029614604" "0" "0.0231610207726852" "0.00683474140032917" "0.0099303168725761" "0.014645774347414" "0" "0.00595198291378469" "0.00697023867838956" "0.153085586584368" "0" "0.0576220674484498" "0" "0.0308978512824985" "0" "0" "0.00180398538858126" "0" "0" "0" "0" "0.0136395918704911" "0" "0" "0" "0.0166618542606783" "0" "0.00673658161543658" "0" "0" "0" "0" "0.00506901680768248" "0.00185932206725813"
"JOLA.nolocal.4" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.238742225881016" "0.285974788928915" "0.13059169385814" "0" "0.101467067510407" "0.0425354334250844" "0.00243341156695306" "0.0169069148301649" "0" "0.00112948103639251" "0.00793539105271535" "0.00904218851947428" "0.0171781219040566" "0" "0" "0.00916397046793161" "0" "0" "0.00219447682032203" "0.0164170175179468" "0.00288502761492141" "0" "0.0261643410391191" "0" "0" "0.0364730115072955" "0" "0" "0" "0" "0.00272645693602512" "0" "0" "0" "0.0144860742053689" "0" "0" "0" "0" "0" "0.0149903773088396" "0" "0" "0.00486689588324606" "0.00507410998358941" "0" "0.0106215222020763" "0" "0"
"JOLA.nolocal.5" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.341789530538239" "0.137696773485329" "0.109141534475786" "0" "0.0907583936503447" "0" "0.0222269420757282" "0.0972445611578137" "0" "0" "0" "0.0107377157275129" "0.0254513638473961" "0" "0" "0" "0" "0.0228851621737727" "0.0013615557912276" "0.075582694818369" "0" "0" "0" "0" "0.022708331968939" "0" "0" "0" "0" "0" "0" "0.0133358318785286" "0" "0" "0" "0" "0.00859715414739969" "0" "0" "0" "0" "0" "0" "0.00329648918833398" "0.0163218227756558" "0" "0.000864142299624091" "0" "0"
"JOLA.nolocal.6" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.157742784126683" "0.351311160725326" "0" "0.10040970247522" "0" "0.12186796103412" "0.0153462263824364" "0" "0" "0.000202427333864518" "0" "0" "0" "0" "0" "0.0210011926725224" "0" "0.00203038533147299" "0.00673083476304905" "0.00696046621255374" "0.0253403917896367" "0" "0.0308645832792545" "0.0048711689908946" "0.0236035232224325" "0.0257392664424465" "0.0293088382971775" "0" "0.0143053626014807" "0.00224566088075183" "0.0140706538002544" "0" "0.00127475234416859" "0" "0" "0.00106417958252597" "0" "0" "0" "0" "0.0282168157702034" "0" "0.00559275406922857" "0" "0" "0.00221947285196559" "0" "0.00567438120450772" "0.00200505381582363"
"JOLA.nolocal.7" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.456369683051242" "0" "0.0690392761756071" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0426474171282295" "0" "0.431943623644921" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.nolocal.8" "one-date" "93.640625" "0.17" "0.665246501033605" "0.999525886713073" "0.999952062125359" "GBR" "AKANS" "0.49" "AKANS" "AKANS" "1.0000003362228" "95.0127832915563" "0.0655420511492317" "0.35" "AKANS" "MOSSI" "0.15" "GBR" "AKANS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.224712328956747" "0.198865220472817" "0.0705097448316342" "0.108569044115084" "0" "0.0886019500014899" "0.0303928385953301" "0.0172047151565195" "0" "4.55206852418882e-05" "0.00787003010943684" "0.00541510840108708" "0.00114621144717054" "0" "0" "0.0115807264015004" "0" "0.014960083912798" "0.0149289911614808" "0.0328183664002292" "0.0238595875324628" "0" "0" "0" "0.0689434852819717" "0" "0.0356919737486337" "0" "0" "0" "0.0142323538231472" "0.0159925366917036" "0" "0" "0.005965590192289" "0" "0.00732448362077623" "0" "0" "0" "0" "0" "0" "0" "0.00036910846044973" "0" "0" "0" "0"
"JOLA.nolocalnowest.1" "one-date" "121.656494140625" "0.14" "0.68211261478124" "0.999679910373513" "0.999782139065653" "GBR" "MALAWI" "0.49" "MZIGUA" "ANUAK" "8.19955066383737" "147.437285866619" "0.095001632412463" "0.39" "ANUAK" "ANUAK" "0.11" "GBR" "MALAWI" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.302624521338335" "0" "0" "0" "0" "0" "0" "0.170736314746352" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0394696190072203" "0" "0.487169544908092" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.nolocalnowest.2" "one-date" "121.656494140625" "0.14" "0.68211261478124" "0.999679910373513" "0.999782139065653" "GBR" "MALAWI" "0.49" "MZIGUA" "ANUAK" "8.19955066383737" "147.437285866619" "0.095001632412463" "0.39" "ANUAK" "ANUAK" "0.11" "GBR" "MALAWI" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.00181708135734983" "0" "0" "0" "0" "0" "0" "0.128149622377257" "0" "0.0958370003373156" "0" "0" "0" "0.0279357318145664" "0" "0" "0" "0.410990917980941" "0" "0.133067299371507" "0" "0.04986812675026" "0" "0.0618796879698583" "0.0292910394623246" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0146958719165043" "0" "0.0183535505037451" "0.00976417857329349" "0.0183498915850768"
"JOLA.nolocalnowest.3" "one-date" "121.656494140625" "0.14" "0.68211261478124" "0.999679910373513" "0.999782139065653" "GBR" "MALAWI" "0.49" "MZIGUA" "ANUAK" "8.19955066383737" "147.437285866619" "0.095001632412463" "0.39" "ANUAK" "ANUAK" "0.11" "GBR" "MALAWI" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0233147339710925" "0" "0" "0" "0" "0" "0" "0.160550776457272" "0" "0.214317828965232" "0" "0" "0" "0.00349696206392007" "0" "0" "0" "0.375308974280129" "0" "0.084333850209598" "0" "0.0580576813363529" "0" "0.0430905013995519" "0.00520143370771278" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0263439058860038" "0" "0.00598335172313567"
"JOLA.nolocalnowest.4" "one-date" "121.656494140625" "0.14" "0.68211261478124" "0.999679910373513" "0.999782139065653" "GBR" "MALAWI" "0.49" "MZIGUA" "ANUAK" "8.19955066383737" "147.437285866619" "0.095001632412463" "0.39" "ANUAK" "ANUAK" "0.11" "GBR" "MALAWI" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0566058396378959" "0" "0" "0" "0" "0" "0.00744588478780438" "0" "0" "0" "0.533581659175859" "0.0298241032859426" "0.197268521934547" "0" "0.0385383895788192" "0" "0.053367037690159" "0.00500609052645288" "0" "0.0132927143933593" "0" "0" "0" "0" "0" "0" "0.0432939191200523" "0" "0.00266903952030685" "0" "0.0108135891604835" "0" "0" "0.00667311851203344" "0.00162009267628547"
"JOLA.nolocalnowest.5" "one-date" "121.656494140625" "0.14" "0.68211261478124" "0.999679910373513" "0.999782139065653" "GBR" "MALAWI" "0.49" "MZIGUA" "ANUAK" "8.19955066383737" "147.437285866619" "0.095001632412463" "0.39" "ANUAK" "ANUAK" "0.11" "GBR" "MALAWI" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0700744693453356" "0" "0" "0" "0" "0" "0" "0.11835706437493" "0" "0.142038162255894" "0" "0" "0.102633034027241" "0.0148355447802752" "0" "0" "0" "0.294239609654823" "0" "0.0995244207288271" "0" "0.0690580910853667" "0" "0.0490770542359727" "0.0121270390948386" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.00655835409607929" "0" "0" "0.0201575681665987" "0.00131958815381897"
