"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"1" "JOLA" "main" 1 73.7617 0.5300154 0.0619261
"2" "JOLA" "main" 2 84.26562 0.5754636 0.08066419
"3" "JOLA" "main" 3 69.81872 0.4871699 0.1169949
"4" "JOLA" "main" 4 77.5625 0.500715 0.05082963
"5" "JOLA" "main" 5 90.06641 0.4660536 0.04999574
"6" "JOLA" "main" 1 14.22873 0.2955446 0.3076834
"7" "JOLA" "main" 2 39.69961 0.4774721 0.1037108
"8" "JOLA" "main" 3 74.56347 0.4966709 0.04182077
"9" "JOLA" "main" 4 72.96431 0.4831083 0.04350871
"10" "JOLA" "main" 5 99.75391 0.5354374 0.05515622
"11" "JOLA" "main" 1 47.8237 0.4929489 0.1421543
"12" "JOLA" "main" 2 57.23413 0.4490613 0.07471388
"13" "JOLA" "main" 3 83.12891 0.52517 0.0304852
"14" "JOLA" "main" 4 5.183292 0.1622171 0.4501745
"15" "JOLA" "main" 5 63.7384 0.4814499 0.08549132
"16" "JOLA" "main" 1 41.91691 0.4803542 0.06374219
"17" "JOLA" "main" 2 72.17132 0.5281571 0.08638891
"18" "JOLA" "main" 3 12.025 0.3623396 0.3835362
"19" "JOLA" "main" 4 71.38273 0.5443981 0.06049666
"20" "JOLA" "main" 5 101 0.4650922 0.061413
"21" "JOLA" "main" 1 70.59853 0.4892069 0.07064008
"22" "JOLA" "main" 2 79.76562 0.4383049 0.04628119
"23" "JOLA" "main" 3 91.25 0.555303 0.04221943
"24" "JOLA" "main" 4 37.54407 0.3811507 0.2186382
"25" "JOLA" "main" 5 77.5625 0.4479931 0.05551074
"26" "JOLA" "main" 1 69.0433 0.4935482 0.09261624
"27" "JOLA" "main" 2 1 0.1052841 0.4397464
"28" "JOLA" "main" 3 82 0.4843446 0.03688996
"29" "JOLA" "main" 4 58.64877 0.5094036 0.07192215
"30" "JOLA" "main" 5 72.96431 0.487537 0.05324296
"31" "JOLA" "main" 1 88.89062 0.4783718 0.06834981
"32" "JOLA" "main" 2 82 0.4848322 0.04008261
"33" "JOLA" "main" 3 42.82112 0.4253155 0.1551238
"34" "JOLA" "main" 4 66.74341 0.5398592 0.04508804
"35" "JOLA" "main" 5 44.67152 0.4420679 0.1274662
"36" "JOLA" "main" 1 60.80368 0.5347197 0.05537006
"37" "JOLA" "main" 2 41.91691 0.4489829 0.1113226
"38" "JOLA" "main" 3 80.87891 0.5131511 0.06675262
"39" "JOLA" "main" 4 62.99813 0.5497905 0.08214954
"40" "JOLA" "main" 5 103.5156 0.5455165 0.0665483
"41" "JOLA" "main" 1 80.87891 0.4732188 0.03526874
"42" "JOLA" "main" 2 109.9414 0.5496968 0.04429964
"43" "JOLA" "main" 3 92.44141 0.535364 0.06697867
"44" "JOLA" "main" 4 65.23212 0.5607323 0.09628375
"45" "JOLA" "main" 5 94.84766 0.4889295 0.03619361
"46" "JOLA" "main" 1 28.05724 0.4410313 0.2462733
"47" "JOLA" "main" 2 4.486411 0.1164496 0.3293645
"48" "JOLA" "main" 3 101 0.5504468 0.05464702
"49" "JOLA" "main" 4 49.76773 0.489715 0.1694998
"50" "JOLA" "main" 5 79.76562 0.5431615 0.04648757
"51" "JOLA" "main" 1 130.3906 0.5274821 0.05587967
"52" "JOLA" "main" 2 61.53077 0.5413581 0.09275638
"53" "JOLA" "main" 3 7.4 0.19509 0.3405285
"54" "JOLA" "main" 4 97.28516 0.5009412 0.05738339
"55" "JOLA" "main" 5 42.83292 0.4924482 0.1993329
"56" "JOLA" "main" 1 37.54407 0.4207395 0.07299439
"57" "JOLA" "main" 2 85.41016 0.4827666 0.05688455
"58" "JOLA" "main" 3 70.59853 0.5456546 0.05830797
"59" "JOLA" "main" 4 93.64062 0.5004424 0.05485085
"60" "JOLA" "main" 5 70.59853 0.4821326 0.0962119
"61" "JOLA" "main" 1 55.83707 0.5011794 0.08077942
"62" "JOLA" "main" 2 52.42128 0.5634928 0.1110174
"63" "JOLA" "main" 3 71.38273 0.5920385 0.06165477
"64" "JOLA" "main" 4 47.18448 0.5124959 0.2096807
"65" "JOLA" "main" 5 79.76562 0.5104138 0.05394456
"66" "JOLA" "main" 1 59.36268 0.5391632 0.07514464
"67" "JOLA" "main" 2 73.7617 0.5013884 0.04011383
"68" "JOLA" "main" 3 28.05724 0.366788 0.2315785
"69" "JOLA" "main" 4 66.74341 0.5099078 0.07689718
"70" "JOLA" "main" 5 84.26562 0.5343681 0.06766797
"71" "JOLA" "main" 1 79.21191 0.542728 0.06381458
"72" "JOLA" "main" 2 76.47266 0.5387528 0.07085029
"73" "JOLA" "main" 3 41.91691 0.4772566 0.1471656
"74" "JOLA" "main" 4 79.76562 0.5485044 0.04330675
"75" "JOLA" "main" 5 80.87891 0.5254594 0.03381025
"76" "JOLA" "main" 1 72.17132 0.4710372 0.0913531
"77" "JOLA" "main" 2 69.0433 0.5106388 0.06021278
"78" "JOLA" "main" 3 41.02258 0.4545514 0.05419143
"79" "JOLA" "main" 4 57.23413 0.5528427 0.07794873
"80" "JOLA" "main" 5 75.36964 0.5450872 0.1562192
"81" "JOLA" "main" 1 72.17132 0.5260605 0.07237852
"82" "JOLA" "main" 2 49.11533 0.4171547 0.08323255
"83" "JOLA" "main" 3 61.53077 0.5304716 0.05382199
"84" "JOLA" "main" 4 55.14512 0.4737383 0.04974913
"85" "JOLA" "main" 5 88.30566 0.576553 0.04525259
"86" "JOLA" "main" 1 2.138099 0.1222229 0.4888787
"87" "JOLA" "main" 2 58.64877 0.4894054 0.1331748
"88" "JOLA" "main" 3 93.64062 0.5600214 0.05077418
"89" "JOLA" "main" 4 82.56348 0.5061166 0.06001365
"90" "JOLA" "main" 5 102.2539 0.5105676 0.05083025
"91" "JOLA" "main" 1 82 0.5439634 0.05070229
"92" "JOLA" "main" 2 72.96431 0.5895398 0.05501378
"93" "JOLA" "main" 3 70.59853 0.5259058 0.09321121
"94" "JOLA" "main" 4 9.326563 0.2107288 0.4107891
"95" "JOLA" "main" 5 83.12891 0.5182292 0.04473217
"96" "JOLA" "main" 1 61.53077 0.5973633 0.08718961
"97" "JOLA" "main" 2 88.89062 0.5669541 0.0609775
"98" "JOLA" "main" 3 44.05426 0.437266 0.09703961
"99" "JOLA" "main" 4 93.64062 0.5336474 0.06499554
"100" "JOLA" "main" 5 70.59853 0.5796055 0.03731104
"101" "JOLA" "main.null" 1 108.6406 0.5675429 0.03025451
"102" "JOLA" "main.null" 2 135.2115 0.513786 0.05019986
"103" "JOLA" "main.null" 3 165.7409 0.4815902 0.0639929
"104" "JOLA" "main.null" 4 120.6289 0.4907618 0.04555686
"105" "JOLA" "main.null" 5 109.29 0.610806 0.04790865
"106" "JOLA" "main.null" 1 119.2656 0.4582625 0.02824268
"107" "JOLA" "main.null" 2 117.9102 0.5502364 0.03172361
"108" "JOLA" "main.null" 3 122 0.5479885 0.04336837
"109" "JOLA" "main.null" 4 127.5625 0.4814337 0.04763947
"110" "JOLA" "main.null" 5 98.51562 0.5461566 0.06223356
"111" "JOLA" "main.null" 1 143.047 0.526552 0.03028965
"112" "JOLA" "main.null" 2 112.5664 0.4967292 0.04178448
"113" "JOLA" "main.null" 3 122.6885 0.554088 0.03586776
"114" "JOLA" "main.null" 4 145.0406 0.4599257 0.0346839
"115" "JOLA" "main.null" 5 151.1048 0.5766948 0.02985938
"116" "JOLA" "main.null" 1 106.0625 0.5065222 0.06903395
"117" "JOLA" "main.null" 2 77.5625 0.508156 0.03475678
"118" "JOLA" "main.null" 3 82 0.5643054 0.07409409
"119" "JOLA" "main.null" 4 101 0.525598 0.05610367
"120" "JOLA" "main.null" 5 119.9463 0.5151389 0.0307545
"121" "JOLA" "main.null" 1 137.1495 0.5228743 0.02763328
"122" "JOLA" "main.null" 2 131.8164 0.5054287 0.04277014
"123" "JOLA" "main.null" 3 107.3477 0.4899687 0.03935967
"124" "JOLA" "main.null" 4 119.2656 0.4579682 0.03294487
"125" "JOLA" "main.null" 5 183.3014 0.5126853 0.03047949
"126" "JOLA" "main.null" 1 126.1602 0.4796718 0.0486135
"127" "JOLA" "main.null" 2 124.0713 0.5245197 0.03321328
"128" "JOLA" "main.null" 3 127.5625 0.510477 0.03064038
"129" "JOLA" "main.null" 4 120.6289 0.5324527 0.0508595
"130" "JOLA" "main.null" 5 103.5156 0.4724074 0.05040983
"131" "JOLA" "main.null" 1 124.7656 0.5524155 0.02991229
"132" "JOLA" "main.null" 2 166.8124 0.5375549 0.02324714
"133" "JOLA" "main.null" 3 127.5625 0.4526751 0.03242305
"134" "JOLA" "main.null" 4 101 0.5404786 0.04327469
"135" "JOLA" "main.null" 5 157.2941 0.4845635 0.03763575
"136" "JOLA" "main.null" 1 102.2539 0.5041891 0.04306748
"137" "JOLA" "main.null" 2 126.1602 0.4528819 0.03731604
"138" "JOLA" "main.null" 3 127.5625 0.459214 0.03633139
"139" "JOLA" "main.null" 4 133.25 0.5032947 0.02578453
"140" "JOLA" "main.null" 5 90.06641 0.5033852 0.0396532
"141" "JOLA" "main.null" 1 143.047 0.4681039 0.02955445
"142" "JOLA" "main.null" 2 137.1495 0.5047806 0.05323178
"143" "JOLA" "main.null" 3 122 0.5115356 0.05360261
"144" "JOLA" "main.null" 4 94.84766 0.5327934 0.02614762
"145" "JOLA" "main.null" 5 139.1015 0.5352205 0.02630848
"146" "JOLA" "main.null" 1 115.2227 0.4548262 0.04032897
"147" "JOLA" "main.null" 2 142.0554 0.5407284 0.03367978
"148" "JOLA" "main.null" 3 130.3906 0.5224596 0.03357881
"149" "JOLA" "main.null" 4 139.1015 0.5473032 0.03076489
"150" "JOLA" "main.null" 5 157.2941 0.5470717 0.04084927
"151" "JOLA" "main.null" 1 129.6807 0.509378 0.04709935
"152" "JOLA" "main.null" 2 120.6289 0.6011294 0.04712768
"153" "JOLA" "main.null" 3 157.2941 0.5026917 0.03555614
"154" "JOLA" "main.null" 4 119.2656 0.4958346 0.04863951
"155" "JOLA" "main.null" 5 124.7656 0.4685898 0.04555426
"156" "JOLA" "main.null" 1 134.2477 0.5438047 0.03312087
"157" "JOLA" "main.null" 2 133.2873 0.4651063 0.03372785
"158" "JOLA" "main.null" 3 114.5557 0.5462603 0.02482541
"159" "JOLA" "main.null" 4 130.3906 0.5388673 0.03491353
"160" "JOLA" "main.null" 5 108.6406 0.5164399 0.0222647
"161" "JOLA" "main.null" 1 122 0.4514202 0.0403297
"162" "JOLA" "main.null" 2 102.2539 0.4379361 0.04329805
"163" "JOLA" "main.null" 3 151.1048 0.5196663 0.0330948
"164" "JOLA" "main.null" 4 144.0421 0.5383698 0.03366642
"165" "JOLA" "main.null" 5 123.3789 0.496728 0.03541233
"166" "JOLA" "main.null" 1 103.5156 0.5295434 0.0503854
"167" "JOLA" "main.null" 2 116.5625 0.4758538 0.05850775
"168" "JOLA" "main.null" 3 127.5625 0.5054762 0.04308311
"169" "JOLA" "main.null" 4 125.4619 0.5399238 0.03933046
"170" "JOLA" "main.null" 5 117.9102 0.4617396 0.02650191
"171" "JOLA" "main.null" 1 122 0.503674 0.04012966
"172" "JOLA" "main.null" 2 197.0553 0.50578 0.03293791
"173" "JOLA" "main.null" 3 119.2656 0.5176325 0.03537309
"174" "JOLA" "main.null" 4 135.2115 0.5342689 0.02687566
"175" "JOLA" "main.null" 5 99.75391 0.4763839 0.05067803
"176" "JOLA" "main.null" 1 113.2275 0.5191998 0.02973744
"177" "JOLA" "main.null" 2 153.154 0.4937535 0.0356829
"178" "JOLA" "main.null" 3 122 0.5402001 0.05559432
"179" "JOLA" "main.null" 4 145.0406 0.5360487 0.04297272
"180" "JOLA" "main.null" 5 122 0.5589395 0.04318497
"181" "JOLA" "main.null" 1 140.0826 0.4801388 0.03438745
"182" "JOLA" "main.null" 2 106.0625 0.532365 0.05052797
"183" "JOLA" "main.null" 3 106.0625 0.4494872 0.03671459
"184" "JOLA" "main.null" 4 172.2219 0.4723802 0.03192206
"185" "JOLA" "main.null" 5 88.89062 0.5222529 0.03848696
"186" "JOLA" "main.null" 1 112.5664 0.5396793 0.03731491
"187" "JOLA" "main.null" 2 181.0577 0.4762866 0.05207248
"188" "JOLA" "main.null" 3 137.1495 0.5155226 0.05045098
"189" "JOLA" "main.null" 4 106.0625 0.5697075 0.030655
"190" "JOLA" "main.null" 5 148.0571 0.52066 0.04285594
"191" "JOLA" "main.null" 1 120.6289 0.5460278 0.0273234
"192" "JOLA" "main.null" 2 170.0477 0.5546182 0.02512953
"193" "JOLA" "main.null" 3 145.0406 0.4633513 0.02822808
"194" "JOLA" "main.null" 4 147.0481 0.4403478 0.0291925
"195" "JOLA" "main.null" 5 103.5156 0.4929615 0.04444619
"196" "JOLA" "main.null" 1 145.0406 0.5131767 0.03966492
"197" "JOLA" "main.null" 2 107.3477 0.4982805 0.05043014
"198" "JOLA" "main.null" 3 111.25 0.5342637 0.05299968
"199" "JOLA" "main.null" 4 108.6406 0.4665293 0.03458039
"200" "JOLA" "main.null" 5 108.6406 0.5095074 0.02563105
"201" "WOLLOF" "main" 1 22.76239 0.9191028 0.5743772
"202" "WOLLOF" "main" 2 21.91024 0.9135742 0.4771463
"203" "WOLLOF" "main" 3 23.50635 0.9196533 0.4878235
"204" "WOLLOF" "main" 4 23.44387 0.9191842 0.4936272
"205" "WOLLOF" "main" 5 25.25444 0.9240065 0.4870452
"206" "WOLLOF" "main" 1 24.69516 0.9317507 0.4536323
"207" "WOLLOF" "main" 2 24.18468 0.9188431 0.4790222
"208" "WOLLOF" "main" 3 24.26938 0.9265536 0.4819848
"209" "WOLLOF" "main" 4 23.31919 0.9206949 0.5629954
"210" "WOLLOF" "main" 5 26.43688 0.925099 0.4678643
"211" "WOLLOF" "main" 1 27.06107 0.9294064 0.4622122
"212" "WOLLOF" "main" 2 23.75711 0.9331131 0.4183996
"213" "WOLLOF" "main" 3 25.5583 0.9241602 0.4247707
"214" "WOLLOF" "main" 4 27.15086 0.9194831 0.443138
"215" "WOLLOF" "main" 5 22.88551 0.9255149 0.5429878
"216" "WOLLOF" "main" 1 22.3951 0.9204272 0.5129286
"217" "WOLLOF" "main" 2 22.27336 0.9242166 0.5446356
"218" "WOLLOF" "main" 3 26.52559 0.9268313 0.4139442
"219" "WOLLOF" "main" 4 25.1248 0.9194649 0.3429819
"220" "WOLLOF" "main" 5 23.07085 0.9168696 0.5090266
"221" "WOLLOF" "main" 1 23.44387 0.9315548 0.4631489
"222" "WOLLOF" "main" 2 23.63156 0.910273 0.5868047
"223" "WOLLOF" "main" 3 23.07085 0.9257016 0.4721324
"224" "WOLLOF" "main" 4 24.10014 0.9273539 0.4205813
"225" "WOLLOF" "main" 5 23.35033 0.9168801 0.4523799
"226" "WOLLOF" "main" 1 21.72985 0.9169855 0.5666607
"227" "WOLLOF" "main" 2 24.10014 0.9250196 0.4841888
"228" "WOLLOF" "main" 3 20.60553 0.913128 0.5180393
"229" "WOLLOF" "main" 4 22.82391 0.9271283 0.4580694
"230" "WOLLOF" "main" 5 27.42115 0.9316358 0.3550158
"231" "WOLLOF" "main" 1 20.34384 0.9065093 0.5498216
"232" "WOLLOF" "main" 2 24.73795 0.9230072 0.4504279
"233" "WOLLOF" "main" 3 26.30411 0.9208847 0.4852379
"234" "WOLLOF" "main" 4 25.47129 0.9317123 0.4054961
"235" "WOLLOF" "main" 5 24.60969 0.9371368 0.4214095
"236" "WOLLOF" "main" 1 19.68305 0.9172158 0.590987
"237" "WOLLOF" "main" 2 25.47129 0.9278683 0.4385366
"238" "WOLLOF" "main" 3 25.42784 0.9237379 0.4519444
"239" "WOLLOF" "main" 4 23.31919 0.9341473 0.431243
"240" "WOLLOF" "main" 5 24.9955 0.9213962 0.4920282
"241" "WOLLOF" "main" 1 21.72985 0.9198597 0.5460137
"242" "WOLLOF" "main" 2 22.3951 0.9115975 0.5291287
"243" "WOLLOF" "main" 3 24.82364 0.9210285 0.5011379
"244" "WOLLOF" "main" 4 23.19485 0.9202071 0.4344654
"245" "WOLLOF" "main" 5 22.76239 0.9140673 0.5478707
"246" "WOLLOF" "main" 1 25.64546 0.9210411 0.4791843
"247" "WOLLOF" "main" 2 24.26938 0.9195216 0.4866574
"248" "WOLLOF" "main" 3 23.75711 0.9291405 0.4730715
"249" "WOLLOF" "main" 4 23.69429 0.9140779 0.5266476
"250" "WOLLOF" "main" 5 23.56891 0.92463 0.5271372
"251" "WOLLOF" "main" 1 24.22701 0.9246981 0.4619207
"252" "WOLLOF" "main" 2 24.01576 0.9189599 0.4964863
"253" "WOLLOF" "main" 3 22.27336 0.9109018 0.5108699
"254" "WOLLOF" "main" 4 24.35422 0.9302102 0.4193589
"255" "WOLLOF" "main" 5 27.64746 0.9130531 0.4523694
"256" "WOLLOF" "main" 1 25.47129 0.9267805 0.4971541
"257" "WOLLOF" "main" 2 23.93153 0.9169926 0.5458277
"258" "WOLLOF" "main" 3 23.25697 0.9144239 0.5468843
"259" "WOLLOF" "main" 4 23.56891 0.9082549 0.5352217
"260" "WOLLOF" "main" 5 23.03991 0.9209494 0.5229279
"261" "WOLLOF" "main" 1 23.25697 0.9207672 0.4864007
"262" "WOLLOF" "main" 2 21.25263 0.9198906 0.4783464
"263" "WOLLOF" "main" 3 23.72569 0.9245781 0.4924044
"264" "WOLLOF" "main" 4 23.19485 0.9079514 0.5435351
"265" "WOLLOF" "main" 5 22.3951 0.9181957 0.4888332
"266" "WOLLOF" "main" 1 19.5693 0.9147421 0.6101596
"267" "WOLLOF" "main" 2 23.38149 0.9249079 0.5189261
"268" "WOLLOF" "main" 3 24.35422 0.9322292 0.4159577
"269" "WOLLOF" "main" 4 24.60969 0.9201809 0.4144822
"270" "WOLLOF" "main" 5 23.69429 0.9256305 0.4400928
"271" "WOLLOF" "main" 1 21.66989 0.920362 0.4966852
"272" "WOLLOF" "main" 2 27.46634 0.9297273 0.4283354
"273" "WOLLOF" "main" 3 24.6524 0.9121801 0.5292964
"274" "WOLLOF" "main" 4 24.86655 0.9257327 0.5040753
"275" "WOLLOF" "main" 5 25.21119 0.9196164 0.506338
"276" "WOLLOF" "main" 1 24.86655 0.9242217 0.4707701
"277" "WOLLOF" "main" 2 23.93153 0.917884 0.469009
"278" "WOLLOF" "main" 3 19.99764 0.9259835 0.5383798
"279" "WOLLOF" "main" 4 25.21119 0.9130734 0.5091205
"280" "WOLLOF" "main" 5 25.64546 0.9251616 0.3449273
"281" "WOLLOF" "main" 1 25.42784 0.9303614 0.50282
"282" "WOLLOF" "main" 2 22.54776 0.9261784 0.5693716
"283" "WOLLOF" "main" 3 21.34169 0.9168043 0.5508859
"284" "WOLLOF" "main" 4 27.42115 0.9194107 0.4491701
"285" "WOLLOF" "main" 5 22.09141 0.9080763 0.5326893
"286" "WOLLOF" "main" 1 21.78989 0.9197251 0.4965864
"287" "WOLLOF" "main" 2 24.10014 0.9225981 0.5109626
"288" "WOLLOF" "main" 3 21.78989 0.9198671 0.6045788
"289" "WOLLOF" "main" 4 24.26938 0.9217641 0.5530994
"290" "WOLLOF" "main" 5 25.64546 0.9295641 0.457864
"291" "WOLLOF" "main" 1 22.21262 0.9266415 0.5191949
"292" "WOLLOF" "main" 2 22.76239 0.9164136 0.5397468
"293" "WOLLOF" "main" 3 25.21119 0.9188003 0.4430767
