"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"21" "JOLACEU400g90p" "main" "1" "1D" "0.739" "0.989" "0.999" 0.07 "1722" NA "0.49" "WOLLOF" "FULAI" "0.43" "FULAI" "MANJAGO" "1758" NA "0.47" "WOLLOF" "FULAI" "2159B" NA "0.4" "MANJAGO" "FULAI"
"102" "MALAWIJOLA100g95p" "ancient" "1" "1D(2D)" "0.859" "0.991" "0.998" 0.73 "744" NA "0.13" "MZIGUA" "MZIGUA" "0.19" "SEBANTU" "MZIGUA" "230B" NA "0.16" "MANDINKAI" "MZIGUA" "1173B" NA "0.15" "AMAXHOSA" "MZIGUA"
"100" "MALAWIJOLA100g90p" "ancient" "1" "1D(2D)" "0.934" "0.999" "1" 0.69 "401" NA "0.24" "MANDINKAII" "MZIGUA" "0.2" "SEBANTU" "MZIGUA" "56B" NA "0.17" "MANDINKAI" "MZIGUA" "3256B" NA "0.24" "SEBANTU" "MZIGUA"
"98" "MALAWIJOLA100g80p" "ancient" "1" "1D(2D)" "0.95" "1" "1" 0.57 "330B" NA "0.26" "MANDINKAI" "MZIGUA" "0.2" "SEBANTU" "MZIGUA" "2292B" NA "0.31" "MANDINKAI" "MZIGUA" "2302B" NA "0.19" "KARRETJIE" "MZIGUA"
"73" "JUHOANJOLA100g80p" "main" "1" "1D(2D)" "0.941" "0.999" "1" 0.61 "437B" "(605B-234B)" "0.32" "MANDINKAI" "KARRETJIE" "0.15" "SEMI.BANTU" "XUN" "1751" NA "0.03" "MANDINKAII" "XUN" "932B" NA "0.31" "MANDINKAI" "KARRETJIE"
"13" "JOLACEU300g80p" "main" "1" "1MW(2D)" "0.716" "0.838" "0.999" 0.52 "1773" NA "0.37" "FULAI" "FULAI" "0.36" "FULAI" "FULAI" "1799" NA "0.32" "FULAI" "FULAI" "5424B" NA "0.18" "GBR" "MANJAGO"
"19" "JOLACEU400g80p" "main" "1" "1MW" "0.644" "0.922" "0.999" 0.09 "1743" NA "0.41" "FULAI" "FULAI" "0.48" "FULAI" "FULAI" "1797" NA "0.45" "FULAI" "FULAI" "1173B" NA "0.29" "WOLLOF" "FULAI"
"15" "JOLACEU300g90p" "main" "1" "1D" "0.717" "0.983" "1" 0.25 "1710" NA "0.43" "FULAI" "WOLLOF" "0.49" "FULAI" "MANJAGO" "1775" NA "0.41" "FULAI" "FULAI" "1268B" NA "0.44" "FULAI" "MANJAGO"
"22" "JOLACEU400g90p" "ancient" "1" "1MW(2D)" "0.612" "0.973" "1" 0.5 "770" NA "0.37" "SERERE" "FULAI" "0.36" "MANJAGO" "FULAI" "1892" NA "0.48" "FULAI" "FULAI" "2534B" NA "0.45" "FULAI" "MANJAGO"
"2" "JOLACEU100g80p" "ancient" "1" "1D(2D)" "0.995" "1" "1" 0.46 "735B" NA "0.21" "GBR" "SERERE" "0.44" "FULAI" "FULAI" "1636" NA "0.33" "FULAI" "FULAI" "861B" NA "0.2" "GBR" "SERERE"
"3" "JOLACEU100g90p" "main" "1" "2D" "0.99" "1" "1" 0.77 "931B" "(1062B-753B)" "0.12" "GBR" "SERERE" "0.27" "MANJAGO" "FULAI" "1794" "(1745-1835)" "0.47" "FULAI" "WOLLOF" "1069B" "(1225B-813B)" "0.12" "GBR" "SERERE"
"1" "JOLACEU100g80p" "main" "1" "2D" "0.992" "1" "1" 0.7 "1058B" "(1151B-948B)" "0.23" "GBR" "SERERE" "0.22" "FULAI" "FULAI" "1784" "(1741-1833)" "0.27" "FULAI" "FULAI" "1072B" "(1184B-935B)" "0.23" "GBR" "SERERE"
"9" "JOLACEU200g90p" "main" "1" "1D(2D)" "0.841" "0.999" "1" 0.72 "2156B" NA "0.19" "GBR" "SERERE" "0.25" "SEMI.BANTU" "FULAI" "1801" NA "0.46" "FULAI" "WOLLOF" "3198B" NA "0.12" "GBR" "MANJAGO"
"10" "JOLACEU200g90p" "ancient" "1" "1D(2D)" "0.973" "1" "1" 0.57 "2535B" NA "0.15" "GBR" "MANJAGO" "0.45" "FULAI" "WOLLOF" "1650" NA "0.43" "FULAI" "FULAI" "2694B" NA "0.15" "GBR" "MANJAGO"
"8" "JOLACEU200g80p" "ancient" "1" "1D(2D)" "0.982" "1" "1" 0.45 "2967B" NA "0.25" "GBR" "MANJAGO" "0.32" "FULAI" "FULAI" "1446" NA "0.49" "FULAI" "FULAI" "2816B" NA "0.25" "GBR" "MANJAGO"
"7" "JOLACEU200g80p" "main" "1" "1D(2D)" "0.876" "0.999" "1" 0.72 "4059B" NA "0.22" "GBR" "SERERE" "0.28" "MALAWI" "FULAI" "1762" NA "0.48" "FULAI" "FULAI" "4199B" NA "0.23" "GBR" "SERERE"
"16" "JOLACEU300g90p" "ancient" "1" "1D(2D)" "0.92" "1" "1" 0.39 "4146B" NA "0.17" "IBS" "MANJAGO" "0.32" "MANJAGO" "FULAI" "1809" NA "0.46" "FULAI" "FULAI" "4191B" NA "0.16" "GBR" "MANJAGO"
"14" "JOLACEU300g80p" "ancient" "1" "1D(2D)" "0.95" "1" "1" 0.36 "4509B" NA "0.27" "GBR" "MANJAGO" "0.33" "FULAI" "FULAI" "1530" NA "0.5" "FULAI" "FULAI" "4212B" NA "0.26" "GBR" "MANJAGO"
