"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI-BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLACEU100g80p.main.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0712992876693418 0 0.431448760514716 0.257203373179477 0.181250059235564 0.0438476877284019 0 0 0 0 0.0121505255218993 0.0028003061506
"JOLACEU100g80p.main.2" 0 0 0 0 0 0 0 0 0 0 0 0.223801101935994 0.252312938054766 0.0344743524116423 0.0442531913422377 0.049100098628932 0.0968845528858704 0.0272143059543225 0.0111593044146437 0 0.00265893940420792 0.00384298977636966 0.00554789348178081 0.00539779138070189 0.0119646613815255 0.0144679883233697 0.0086699028952888 0 0.0192031073398324 0.00869208287318367 0.0170537629744656 0.0121970630619383 0 0.00447028126950005 0.000645042410989948 0.0773277032278712 0 0.0150923914485112 0.00604287730491878 0.00702109275208907 0 0.00487539454345916 0.00402486172377419 0 0.00557342843678803 0.00265087807318167 0 0.00213437232880233 0 0 0 0 0 0 0.00423471956771783 0.0027439116053435 0 0.0132853165265804 0.000981700259400303 0
"JOLACEU100g80p.main.3" 0 0 0 0 0 0 0 0 0 0 0 0.123109070912041 0.0433773713922673 0 0.0248863910103281 0 0.0979265144475636 0.0220614030126974 0.0287426459143608 0.0167526419126399 0.00597820718168245 0.00967870395008624 0.00767870115512007 0 0.0520040492945881 0.0336365143363128 0.00750600076000291 0 0.0244765141637789 0.0205613484352973 0.00217643028577393 0.0222575414874543 0 0.0433945867968028 0 0.116632556605841 0 0.00100615122230354 0 0 0.00959090742429677 0.00451357073794185 0.0119572729007934 0.00186655483804342 0.000403270876284596 0.0104399847870187 0.0198196355690449 0.0123928978944463 0.00671866302254263 0 0.00757016220289481 0 0.0706590905706971 0.0379816214355291 0.0195506770042696 0.00595509288017996 0 0.0542294366031009 0.0185247040785973 0.00398311289737598
"JOLACEU100g80p.main.4" 0 0 0 0 0 0 0 0 0 0 0 0.184023125551775 0.237498563348119 0.036671745780906 0.029191988443246 0.0548861140892338 0.0662732797205336 0.0201788925498104 0.00280223166536779 0 0 9.32401931178834e-05 0 0.00268201119754555 0 0.0029844087593836 0.00427538260926267 0 0.00398005215395091 0 0.016669861570871 0.00418609745188624 0.0100915169540265 0 0.00413424595715533 0.0356732132555283 0.0235726699837717 0.0197737532422274 0 0.00379672091216299 0 0.00114590998514618 0 0.000989359379600903 0 0 0 0 0.0190776580619202 0 0.105582778306426 0.0923501739753451 0.0161131646994064 0.00130184020227388 0 0 0 0 0 0
"JOLACEU100g80p.main.5" 0 0 0 0 0 0 0 0 0 0 0 0.138429293728082 0.094668700845953 0.0370817011733762 0.0558129051782374 0 0.0462272455404373 0.0633206930581008 0 0 0 0.00936524280450539 0 0.00532713084870703 0 0 0.00578209802820613 0 0.01131143354754 0.0108945165206068 0.0431291473433564 0.0186604308093264 0.0435282090054065 0.0121091586368448 0 0.0339217828402516 0 0.0622512958482135 0 0.00740215223165763 0.00630784102052911 0.0013870292558119 0.00434658994749867 0.00544778963656405 0.00665101615786972 0.0026007597226649 0.0104137684563216 0.00739068281664858 0.0107929872721068 0 0.0310650490007693 0.102379858634696 0.0270440138954455 0.0217016061085865 0.00841013358935491 0.0064618576084742 0.0345922422642152 0 0.00794766179453358 0.00583597482909981
"JOLACEU100g80p.main.6" 0 0 0 0 0 0 0 0 0 0 0 0.18516829697182 0.232456838420804 0.0211182439163594 0.00391958063319993 0.0731256546766826 0.0838345223332053 0.00438035742139766 0.0128449027482061 0.00410995814131575 0.00168587261143758 0 0.00247845881615092 0.000827279591272652 0.0168259612098613 0.0107070971112442 0.00404899567304432 0.00744566858106581 0.00554407273647912 0 0.0030564271900532 0.00395857919068792 0.0139422211214225 0 0.00388498422592261 0.0584725772898139 0.0189965224413396 0 0 0 0 0.00349463561497883 0.000881819667058697 0.00135963868832672 0 0.000778105781531747 0.000536250683280747 0 0.0180004260215068 0 0.112156496925342 0.0398493772497784 0.0391916138976936 0.00496777346872305 0.00286457708693672 0.000303595499881854 0 0.00163929936569527 0.00114331699647915 0
"JOLACEU100g80p.main.7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0716360923011928 0 0.434621223561643 0.259265340424016 0.181705569048782 0.0438633131674431 0 0 0 0 0.00654688473745059 0.00236157675947227
"JOLACEU100g80p.main.8" 0 0 0 0 0 0 0 0 0 0 0 0.222805090263205 0.25084791706192 0.0355189864568901 0.046187386985288 0.0470397885023105 0.0966150057188563 0.0272145294818379 0.0109809407375438 0 0.00264617399684755 0.00390105570532059 0.00591407407589505 0.00540556479072479 0.0115907973696115 0.0143763244568266 0.0088415760390646 0 0.0198084857820377 0.00895256373999972 0.0170851360474352 0.0125705205750599 0 0.00177545163326652 0.000211576550481863 0.0791819895732822 0 0.0155574721664593 0.00361068840010877 0.00915500454231198 0 0.0048989708537873 0.00423709403499691 0 0.00528063916808328 0.00269871630622563 0 0.00221140526366844 0 0 0 0 0 0 0.00408935411044168 0.00284086467331991 0 0.0133088293354829 0.00264002560140817 0
"JOLACEU100g80p.ancient.1" 0 0 0 0 0 0 0 0 0 0 0 0 0.0335175097556358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0696102754909486 0 0.450557498738263 0.26192009950266 0.166029544183305 0.0158692224833522 0 0 0 0.00249584984583547 0 0
"JOLACEU100g80p.ancient.2" 0 0 0 0 0 0 0 0 0 0 0 0.215339124368973 0.236521471089921 0.0332019508845903 0.0250346082660476 0.0660482554844291 0.093162962081755 0.0260590601199382 0.00986900725670927 0.0111483123180017 0.000173802249528799 0.00125397664417661 0 0 0.015402986496436 0.012311459959516 0.00591100857074324 0.0400302598551435 0.0101472557097643 0.000501338324736648 0.0175627458074686 0.010385266081491 0.000473707117819145 0.00969040199709558 0.00480315491209571 0.0662863334590697 0.00953355827556399 0.0184769076734575 0.00489760433372336 0 0.00158065608997812 0.00416839401602157 0.00309771709624092 0.00339600739588291 0.00396332957334477 0.00209781658442697 0.00231096321013847 0.00183891812406792 0.000852199552503527 0 0 0 0 0.00732728002319474 0.00554967261486975 0.00177424166173814 0 0.0115390189049854 0.00462338740409836 0.00165387841031282
