"pop" "a" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"1" "JOLACEU100g80p" "main" 1 100.9609 0.9822215 0.5577641
"2" "JOLACEU100g80p" "main" 2 100.6877 0.9806292 0.5630109
"3" "JOLACEU100g80p" "main" 3 104.9444 0.9809286 0.5588694
"4" "JOLACEU100g80p" "main" 4 102.0182 0.9842763 0.6121293
"5" "JOLACEU100g80p" "main" 5 105.9024 0.9824982 0.5395248
"6" "JOLACEU100g80p" "main" 1 101.3127 0.9781866 0.529127
"7" "JOLACEU100g80p" "main" 2 103.1205 0.9836682 0.5498844
"8" "JOLACEU100g80p" "main" 3 106.8246 0.9815629 0.5393494
"9" "JOLACEU100g80p" "main" 4 100.8828 0.9826638 0.5446814
"10" "JOLACEU100g80p" "main" 5 102.4112 0.9800246 0.5226323
"11" "JOLACEU100g80p" "main" 1 102.8049 0.9821846 0.5090898
"12" "JOLACEU100g80p" "main" 2 101.8612 0.9835943 0.5236585
"13" "JOLACEU100g80p" "main" 3 100.9219 0.9846374 0.5653466
"14" "JOLACEU100g80p" "main" 4 101.4693 0.9830644 0.5614198
"15" "JOLACEU100g80p" "main" 5 101.9397 0.9815982 0.548401
"16" "JOLACEU100g80p" "main" 1 103.0021 0.9824239 0.5471145
"17" "JOLACEU100g80p" "main" 2 104.1494 0.9814156 0.5183154
"18" "JOLACEU100g80p" "main" 3 99.05641 0.9831651 0.5311534
"19" "JOLACEU100g80p" "main" 4 103.5947 0.9790316 0.6020224
"20" "JOLACEU100g80p" "main" 5 102.2539 0.98104 0.5849151
"21" "JOLACEU100g80p" "main" 1 104.7852 0.9795051 0.5928902
"22" "JOLACEU100g80p" "main" 2 104.0701 0.9820385 0.5791871
"23" "JOLACEU100g80p" "main" 3 105.1038 0.9831165 0.5806899
"24" "JOLACEU100g80p" "main" 4 98.78583 0.9851155 0.5701957
"25" "JOLACEU100g80p" "main" 5 105.0241 0.9822543 0.553313
"26" "JOLACEU100g80p" "main" 1 101.7436 0.9838402 0.5512975
"27" "JOLACEU100g80p" "main" 2 101.3127 0.9842553 0.5430286
"28" "JOLACEU100g80p" "main" 3 102.8049 0.9818288 0.5313103
"29" "JOLACEU100g80p" "main" 4 104.0701 0.9842671 0.5877194
"30" "JOLACEU100g80p" "main" 5 105.0639 0.9820955 0.6318091
"31" "JOLACEU100g80p" "main" 1 105.343 0.9821585 0.5759894
"32" "JOLACEU100g80p" "main" 2 102.0575 0.9838992 0.5663774
"33" "JOLACEU100g80p" "main" 3 99.55991 0.9819732 0.6522272
"34" "JOLACEU100g80p" "main" 4 104.9444 0.9839343 0.5511467
"35" "JOLACEU100g80p" "main" 5 100.6877 0.983905 0.5930311
