"pop" "a" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"1" "JOLACEU100g80p" "main" 1 4.301726 103.8739 0.9802417 0.5741603
"2" "JOLACEU100g80p" "main" 2 5.281777 103.6687 0.9823364 0.5752498
"3" "JOLACEU100g80p" "main" 3 4.9744 104.9922 0.9804292 0.5635979
"4" "JOLACEU100g80p" "main" 4 5.072914 102.3772 0.985565 0.6316549
"5" "JOLACEU100g80p" "main" 5 4.841716 104.2423 0.9856987 0.5503917
"6" "JOLACEU100g80p" "main" 1 5.63967 101.3945 0.983041 0.5518847
"7" "JOLACEU100g80p" "main" 2 3.355536 100.5974 0.9790107 0.6130603
"8" "JOLACEU100g80p" "main" 3 6.386469 100.7405 0.9812726 0.5884816
"9" "JOLACEU100g80p" "main" 4 4.953651 105.187 0.9787778 0.5553328
"10" "JOLACEU100g80p" "main" 5 4.776546 97.90938 0.9823712 0.5125043
"11" "JOLACEU100g80p" "main" 1 4.137341 104.5016 0.982397 0.5993465
"12" "JOLACEU100g80p" "main" 2 4.558564 103.1185 0.982626 0.5847499
"13" "JOLACEU100g80p" "main" 3 5.069113 100.9646 0.982993 0.5783213
"14" "JOLACEU100g80p" "main" 4 4.889829 102.3587 0.9844172 0.5643659
"15" "JOLACEU100g80p" "main" 5 5.225637 102.763 0.9832722 0.5658323
"16" "JOLACEU100g80p" "main" 1 3.411199 99.38152 0.9837338 0.4327952
"17" "JOLACEU100g80p" "main" 2 5.15986 101.5898 0.983024 0.5702839
"18" "JOLACEU100g80p" "main" 3 4.217395 105.4278 0.9840853 0.5382223
"19" "JOLACEU100g80p" "main" 4 3.105241 101.4956 0.9831641 0.559362
"20" "JOLACEU100g80p" "main" 5 4.244166 106.7813 0.9812199 0.5439034
"21" "JOLACEU100g80p" "main" 1 4.38572 100.6606 0.9812418 0.5859643
"22" "JOLACEU100g80p" "main" 2 4.663398 98.22293 0.9810153 0.5295563
"23" "JOLACEU100g80p" "main" 3 5.502854 103.6259 0.9838019 0.5407365
"24" "JOLACEU100g80p" "main" 4 5.499751 104.7798 0.9836311 0.5555887
"25" "JOLACEU100g80p" "main" 5 6.009891 101.0698 0.9782741 0.543653
"26" "JOLACEU100g80p" "main" 1 3.87059 103.8332 0.9815417 0.5684792
"27" "JOLACEU100g80p" "main" 2 4.29963 100.5544 0.9823814 0.595101
"28" "JOLACEU100g80p" "main" 3 5.030602 102.4425 0.983526 0.5300913
"29" "JOLACEU100g80p" "main" 4 5.560058 100.0847 0.9817891 0.5493729
"30" "JOLACEU100g80p" "main" 5 3.917343 101.7058 0.982162 0.5786738
"31" "JOLACEU100g80p" "main" 1 4.931472 102.6149 0.9819956 0.5705562
"32" "JOLACEU100g80p" "main" 2 3.390584 101.0562 0.9801943 0.5807326
"33" "JOLACEU100g80p" "main" 3 4.708093 104.9307 0.9815096 0.5474895
"34" "JOLACEU100g80p" "main" 4 4.560714 101.8989 0.9809519 0.5620604
"35" "JOLACEU100g80p" "main" 5 6.785136 99.99894 0.9842821 0.5176611
"36" "JOLACEU100g80p" "main" 1 4.855589 104.3036 0.9824457 0.4842642
"37" "JOLACEU100g80p" "main" 2 3.944719 103.9283 0.9837818 0.6101044
"38" "JOLACEU100g80p" "main" 3 4.393844 102.9859 0.9828672 0.5525375
"39" "JOLACEU100g80p" "main" 4 4.767414 102.4533 0.9852672 0.4817694
"40" "JOLACEU100g80p" "main" 5 4.287465 103.4586 0.9836836 0.538985
"41" "JOLACEU100g80p" "main" 1 5.238825 107.311 0.9807652 0.568883
"42" "JOLACEU100g80p" "main" 2 5.020458 103.3298 0.9844779 0.5872209
"43" "JOLACEU100g80p" "main" 3 5.65324 100.434 0.9834296 0.5702623
"44" "JOLACEU100g80p" "main" 4 3.42597 102.6319 0.98215 0.5537791
"45" "JOLACEU100g80p" "main" 5 3.888456 102.5801 0.9796581 0.5122836
"46" "JOLACEU100g80p" "main" 1 3.953247 106.572 0.9815015 0.5988393
"47" "JOLACEU100g80p" "main" 2 5.172561 107.546 0.9818628 0.5443846
"48" "JOLACEU100g80p" "main" 3 5.589086 103.0264 0.9818265 0.6136606
"49" "JOLACEU100g80p" "main" 4 3.842739 104.1575 0.982393 0.5391389
"50" "JOLACEU100g80p" "main" 5 4.463303 105.3967 0.9825651 0.54764
"51" "JOLACEU100g80p" "main" 1 5.141663 100.4156 0.9835013 0.5139207
"52" "JOLACEU100g80p" "main" 2 5.825934 102.0623 0.9846897 0.5541928
"53" "JOLACEU100g80p" "main" 3 5.500924 104.9763 0.9808855 0.5928597
"54" "JOLACEU100g80p" "main" 4 3.404887 102.3025 0.9818702 0.569449
"55" "JOLACEU100g80p" "main" 5 5.13946 101.4954 0.9830415 0.5575544
"56" "JOLACEU100g80p" "main" 1 5.737156 104.5529 0.9845551 0.515574
"57" "JOLACEU100g80p" "main" 2 3.511431 104.7219 0.9854978 0.615643
"58" "JOLACEU100g80p" "main" 3 6.421544 99.89929 0.9851649 0.5059698
"59" "JOLACEU100g80p" "main" 4 4.958063 102.2178 0.982599 0.5296827
"60" "JOLACEU100g80p" "main" 5 2.696393 106.3205 0.9809828 0.5228739
"61" "JOLACEU100g80p" "main" 1 3.834887 104.8704 0.9840511 0.5512265
"62" "JOLACEU100g80p" "main" 2 4.354506 101.5184 0.9821304 0.610947
"63" "JOLACEU100g80p" "main" 3 4.836091 105.4922 0.9825981 0.547695
"64" "JOLACEU100g80p" "main" 4 4.169273 104.3295 0.9833099 0.594697
"65" "JOLACEU100g80p" "main" 5 4.149305 105.2228 0.9799975 0.5531735
"66" "JOLACEU100g80p" "main" 1 5.987211 106.1748 0.9797532 0.5442712
"67" "JOLACEU100g80p" "main" 2 4.28509 103.3925 0.9811028 0.5791627
"68" "JOLACEU100g80p" "main" 3 3.88761 102.2187 0.9828409 0.6111092
"69" "JOLACEU100g80p" "main" 4 4.660012 101.597 0.9801094 0.5055723
"70" "JOLACEU100g80p" "main" 5 4.994424 105.1619 0.9828397 0.5236734
"71" "JOLACEU100g80p" "main" 1 4.692926 102.3513 0.983006 0.5158557
"72" "JOLACEU100g80p" "main" 2 3.859718 101.6281 0.9833553 0.5726544
"73" "JOLACEU100g80p" "main" 3 3.94124 108.7701 0.9829388 0.5601052
"74" "JOLACEU100g80p" "main" 4 5.150522 103.7639 0.9799079 0.5165273
"75" "JOLACEU100g80p" "main" 5 4.307093 99.37719 0.9805999 0.6482018
"76" "JOLACEU100g80p" "main" 1 4.015435 100.6785 0.9839915 0.5816317
"77" "JOLACEU100g80p" "main" 2 3.717367 105.0908 0.9798556 0.5774434
"78" "JOLACEU100g80p" "main" 3 4.554686 102.2075 0.9774388 0.6105601
"79" "JOLACEU100g80p" "main" 4 2.977246 102.1732 0.9801611 0.5468577
"80" "JOLACEU100g80p" "main" 5 3.939031 100.7687 0.9815792 0.5321865
"81" "JOLACEU100g80p" "main" 1 3.598676 100.6084 0.9825598 0.5676029
"82" "JOLACEU100g80p" "main" 2 3.695432 102.7352 0.9797974 0.5086644
"83" "JOLACEU100g80p" "main" 3 1.976043 95.80843 0.9797616 0.5122556
"84" "JOLACEU100g80p" "main" 4 4.170644 100.3396 0.9826841 0.5171899
"85" "JOLACEU100g80p" "main" 5 4.917505 101.1096 0.98281 0.5476882
"86" "JOLACEU100g80p" "main" 1 3.756496 100.8499 0.9818999 0.611955
"87" "JOLACEU100g80p" "main" 2 4.421285 104.5323 0.9839593 0.5520801
"88" "JOLACEU100g80p" "main" 3 4.315356 105.1276 0.9840472 0.5771533
"89" "JOLACEU100g80p" "main" 4 3.758248 101.6354 0.9807228 0.5685831
"90" "JOLACEU100g80p" "main" 5 4.728911 103.2826 0.979159 0.611063
"91" "JOLACEU100g80p" "main" 1 4.063296 100.4636 0.9779731 0.5746253
"92" "JOLACEU100g80p" "main" 2 5.518385 103.4473 0.9833029 0.5242793
"93" "JOLACEU100g80p" "main" 3 4.668068 102.6086 0.9809714 0.5978501
"94" "JOLACEU100g80p" "main" 4 3.702847 104.4295 0.9815464 0.5976716
"95" "JOLACEU100g80p" "main" 5 5.106584 103.59 0.9852179 0.5675796
"96" "JOLACEU100g80p" "main" 1 4.60087 104.7659 0.9798082 0.5720616
"97" "JOLACEU100g80p" "main" 2 4.146734 98.73961 0.9798694 0.5524238
"98" "JOLACEU100g80p" "main" 3 5.664647 101.6288 0.9803744 0.4894209
"99" "JOLACEU100g80p" "main" 4 5.424073 104.3945 0.9830016 0.5840582
"100" "JOLACEU100g80p" "main" 5 4.700374 104.4475 0.9838438 0.5994846
"101" "JOLACEU100g90p" "main" 1 5.160217 99.13038 0.9808167 0.7043014
"102" "JOLACEU100g90p" "main" 2 3.206205 110.0557 0.9782466 0.6784042
"103" "JOLACEU100g90p" "main" 3 4.923429 98.29205 0.9796193 0.6447313
"104" "JOLACEU100g90p" "main" 4 4.252251 103.933 0.9748639 0.6534361
"105" "JOLACEU100g90p" "main" 5 3.045414 102.7801 0.9780267 0.6450037
"106" "JOLACEU100g90p" "main" 1 3.735038 104.6457 0.9767466 0.6381538
"107" "JOLACEU100g90p" "main" 2 4.524475 99.50079 0.9758155 0.6678048
"108" "JOLACEU100g90p" "main" 3 3.802072 108.2888 0.9750296 0.7032742
"109" "JOLACEU100g90p" "main" 4 5.819946 101.851 0.9807466 0.620858
"110" "JOLACEU100g90p" "main" 5 4.116913 101.1078 0.9789389 0.6834854
"111" "JOLACEU100g90p" "main" 1 6.055715 104.8022 0.9772717 0.6403031
"112" "JOLACEU100g90p" "main" 2 3.094787 100.9768 0.9760877 0.6060916
"113" "JOLACEU100g90p" "main" 3 4.108576 104.2703 0.9778796 0.619242
"114" "JOLACEU100g90p" "main" 4 4.789876 102.0701 0.9744668 0.6559079
"115" "JOLACEU100g90p" "main" 5 3.124329 103.4659 0.9762234 0.6158993
"116" "JOLACEU100g90p" "main" 1 5.370513 105.4271 0.9765431 0.6236899
"117" "JOLACEU100g90p" "main" 2 3.522771 109.1577 0.9757629 0.6636976
"118" "JOLACEU100g90p" "main" 3 4.997322 102.5451 0.9816323 0.6449366
"119" "JOLACEU100g90p" "main" 4 4.887624 103.2664 0.9775072 0.6358211
"120" "JOLACEU100g90p" "main" 5 4.865281 101.6213 0.976586 0.6274118
"121" "JOLACEU100g90p" "main" 1 5.266932 105.4903 0.9790786 0.6112334
"122" "JOLACEU100g90p" "main" 2 3.833747 97.03152 0.9774032 0.6164601
"123" "JOLACEU100g90p" "main" 3 4.674181 104.4378 0.9784147 0.6551346
"124" "JOLACEU100g90p" "main" 4 4.603905 103.1276 0.9795178 0.6067873
"125" "JOLACEU100g90p" "main" 5 5.022975 100.6006 0.9788506 0.6030133
"126" "JOLACEU100g90p" "main" 1 3.3802 105.7103 0.9726373 0.6552407
"127" "JOLACEU100g90p" "main" 2 4.354029 106.0039 0.9793708 0.6637776
"128" "JOLACEU100g90p" "main" 3 4.627376 101.1045 0.9788676 0.614726
"129" "JOLACEU100g90p" "main" 4 4.11089 103.6669 0.9789552 0.6512047
"130" "JOLACEU100g90p" "main" 5 4.550033 101.8234 0.9797862 0.6340596
"131" "JOLACEU100g90p" "main" 1 4.001319 107.3896 0.9785945 0.6565684
"132" "JOLACEU100g90p" "main" 2 5.008193 103.2732 0.9747545 0.6036348
"133" "JOLACEU100g90p" "main" 3 3.944294 102.6564 0.9797027 0.6591028
"134" "JOLACEU100g90p" "main" 4 3.019026 103.0561 0.977802 0.628309
"135" "JOLACEU100g90p" "main" 5 4.238468 101.753 0.9775714 0.6735925
"136" "JOLACEU100g90p" "main" 1 5.0311 97.43093 0.9768478 0.6131374
"137" "JOLACEU100g90p" "main" 2 5.910269 103.7588 0.9773631 0.6429991
"138" "JOLACEU100g90p" "main" 3 4.207694 100.8609 0.9747486 0.5807553
"139" "JOLACEU100g90p" "main" 4 4.798321 102.9171 0.9771538 0.6315871
"140" "JOLACEU100g90p" "main" 5 3.183785 100.8214 0.9771193 0.634638
"141" "JOLACEU100g90p" "main" 1 4.375977 103.3507 0.9772372 0.6240611
"142" "JOLACEU100g90p" "main" 2 3.390567 102.3805 0.9798082 0.6231808
"143" "JOLACEU100g90p" "main" 3 4.547704 103.5994 0.9777676 0.6389088
"144" "JOLACEU100g90p" "main" 4 4.894381 105.8973 0.9742632 0.6253843
"145" "JOLACEU100g90p" "main" 5 4.798379 101.8874 0.9778568 0.6620616
"146" "JOLACEU100g90p" "main" 1 5.213234 103.5037 0.9789287 0.6342969
"147" "JOLACEU100g90p" "main" 2 3.4994 104.8285 0.9753146 0.6458099
"148" "JOLACEU100g90p" "main" 3 3.48796 102.094 0.9761694 0.614903
"149" "JOLACEU100g90p" "main" 4 6.170296 102.7923 0.9777022 0.5667616
"150" "JOLACEU100g90p" "main" 5 3.661823 97.62777 0.9795064 0.6587882
"151" "JOLACEU100g90p" "main" 1 5.356293 104.9778 0.9772072 0.6107379
"152" "JOLACEU100g90p" "main" 2 4.577111 94.60217 0.9768386 0.6650108
"153" "JOLACEU100g90p" "main" 3 5.107862 104.8508 0.9785161 0.6299351
"154" "JOLACEU100g90p" "main" 4 3.855889 99.43976 0.9773892 0.6529818
"155" "JOLACEU100g90p" "main" 5 3.82414 106.2063 0.9757686 0.6408372
"156" "JOLACEU100g90p" "main" 1 5.355715 106.1384 0.9735768 0.6150134
"157" "JOLACEU100g90p" "main" 2 5.673974 102.4274 0.977546 0.6324536
"158" "JOLACEU100g90p" "main" 3 4.960208 103.608 0.9761595 0.6741699
"159" "JOLACEU100g90p" "main" 4 3.535116 104.7303 0.9799457 0.6476073
"160" "JOLACEU100g90p" "main" 5 5.003473 105.1077 0.9795307 0.6419398
"161" "JOLACEU100g90p" "main" 1 3.644265 103.4764 0.9804637 0.6155389
"162" "JOLACEU100g90p" "main" 2 4.364072 101.0692 0.9743337 0.6192376
"163" "JOLACEU100g90p" "main" 3 4.494729 102.8281 0.9789644 0.6285414
"164" "JOLACEU100g90p" "main" 4 101.2895 4.795157 0.9789145 0.5741496
"165" "JOLACEU100g90p" "main" 5 5.015834 100.5392 0.9755725 0.6378804
"166" "JOLACEU100g90p" "main" 1 4.853722 103.9629 0.9784893 0.642096
"167" "JOLACEU100g90p" "main" 2 4.675111 101.6806 0.9777294 0.59323
"168" "JOLACEU100g90p" "main" 3 5.135538 93.51272 0.9756798 0.6391669
"169" "JOLACEU100g90p" "main" 4 4.896848 102.6204 0.9761394 0.5843104
"170" "JOLACEU100g90p" "main" 5 4.983024 102.0969 0.9756628 0.6120674
"171" "JOLACEU100g90p" "main" 1 2.890363 108.3881 0.9766752 0.6852952
"172" "JOLACEU100g90p" "main" 2 6.081991 96.88433 0.9782482 0.6596525
"173" "JOLACEU100g90p" "main" 3 4.625282 108.5936 0.9739485 0.6297097
"174" "JOLACEU100g90p" "main" 4 5.870093 93.98061 0.9798162 0.6733901
"175" "JOLACEU100g90p" "main" 5 3.903152 98.80762 0.978581 0.6398169
"176" "JOLACEU100g90p" "main" 1 3.267149 95.94024 0.9770779 0.6539782
"177" "JOLACEU100g90p" "main" 2 2.750274 108.0066 0.9742921 0.6597688
"178" "JOLACEU100g90p" "main" 3 4.302074 105.0763 0.9771368 0.6384537
"179" "JOLACEU100g90p" "main" 4 4.199238 99.92524 0.9743262 0.6079909
"180" "JOLACEU100g90p" "main" 5 3.636008 98.23366 0.9789217 0.6217994
"181" "JOLACEU100g90p" "main" 1 4.582675 101.71 0.9766828 0.6147849
"182" "JOLACEU100g90p" "main" 2 4.764033 101.4679 0.9729866 0.6484252
"183" "JOLACEU100g90p" "main" 3 4.4707 103.2254 0.9796053 0.6523418
"184" "JOLACEU100g90p" "main" 4 5.261303 100.9458 0.9794711 0.6479831
"185" "JOLACEU100g90p" "main" 5 4.975302 101.299 0.9759645 0.6067334
"186" "JOLACEU100g90p" "main" 1 4.48315 100.0035 0.9816934 0.6569729
"187" "JOLACEU100g90p" "main" 2 4.747537 100.6603 0.9794361 0.6989179
"188" "JOLACEU100g90p" "main" 3 3.500881 103.3141 0.979159 0.6598941
"189" "JOLACEU100g90p" "main" 4 4.258374 108.0942 0.9729493 0.6572761
"190" "JOLACEU100g90p" "main" 5 2.609624 103.662 0.9774991 0.6470287
"191" "JOLACEU100g90p" "main" 1 4.860271 98.72677 0.9799644 0.6134642
"192" "JOLACEU100g90p" "main" 2 4.012312 102.0818 0.9762498 0.6312143
"193" "JOLACEU100g90p" "main" 3 4.46297 99.68568 0.9771401 0.6175218
"194" "JOLACEU100g90p" "main" 4 4.130041 104.7674 0.9773073 0.6401979
"195" "JOLACEU100g90p" "main" 5 5.725656 95.74166 0.9787486 0.6541991
"196" "JOLACEU100g90p" "main" 1 4.13592 103.4911 0.9800102 0.6614054
"197" "JOLACEU100g90p" "main" 2 3.513789 105.2423 0.9775033 0.5857219
"198" "JOLACEU100g90p" "main" 3 4.563022 107.5234 0.978948 0.6469178
"199" "JOLACEU100g90p" "main" 4 4.404714 104.5533 0.9799374 0.6018319
"200" "JOLACEU100g90p" "main" 5 5.075888 104.6525 0.979244 0.6195593
"201" "JOLACEU100g95p" "main" 1 4.463191 99.26415 0.9671327 0.6522579
"202" "JOLACEU100g95p" "main" 2 5.208891 97.45059 0.9648359 0.6563198
"203" "JOLACEU100g95p" "main" 3 4.60788 96.58021 0.9651433 0.6432869
"204" "JOLACEU100g95p" "main" 4 3.690287 102.6015 0.9622549 0.6990819
"205" "JOLACEU100g95p" "main" 5 5.160617 97.89394 0.9574151 0.6735512
"206" "JOLACEU100g95p" "main" 1 4.367274 100.7617 0.9658285 0.6875639
"207" "JOLACEU100g95p" "main" 2 5.473318 96.38993 0.9627256 0.6362327
"208" "JOLACEU100g95p" "main" 3 5.182064 99.26301 0.9662693 0.6456193
"209" "JOLACEU100g95p" "main" 4 5.966334 98.94927 0.9632888 0.6693876
"210" "JOLACEU100g95p" "main" 5 3.42067 101.3957 0.9652964 0.6298307
"211" "JOLACEU100g95p" "main" 1 5.885511 97.67892 0.9626618 0.6485045
"212" "JOLACEU100g95p" "main" 2 5.798856 104.2837 0.966065 0.6489359
"213" "JOLACEU100g95p" "main" 3 5.054995 97.22736 0.966356 0.6319476
"214" "JOLACEU100g95p" "main" 4 6.190369 101.4865 0.9616233 0.6662633
"215" "JOLACEU100g95p" "main" 5 6.118719 96.23041 0.9626504 0.6247583
"216" "JOLACEU100g95p" "main" 1 4.604964 98.52681 0.9628111 0.6799117
"217" "JOLACEU100g95p" "main" 2 5.695245 95.2835 0.9632297 0.6437166
"218" "JOLACEU100g95p" "main" 3 5.117431 99.27546 0.9662884 0.663653
"219" "JOLACEU100g95p" "main" 4 4.416554 101.023 0.9642441 0.6769883
"220" "JOLACEU100g95p" "main" 5 4.724797 98.81844 0.9646849 0.6585669
"221" "JOLACEU100g95p" "main" 1 4.616212 98.33769 0.9658716 0.6286666
"222" "JOLACEU100g95p" "main" 2 6.376881 99.59821 0.9596385 0.6737673
"223" "JOLACEU100g95p" "main" 3 3.958141 97.09498 0.9629697 0.6367586
"224" "JOLACEU100g95p" "main" 4 5.236723 92.04763 0.9678034 0.5979723
"225" "JOLACEU100g95p" "main" 5 5.279381 104.8767 0.9644015 0.6511056
"226" "JOLACEU100g95p" "main" 1 4.615671 96.38294 0.9635292 0.6597536
