"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"1" "JOLA" "main" 1 1.00001 68.12693 0.5249916 0.06851944
"2" "JOLA" "main" 2 1.000673 80.01381 0.4773209 0.04939293
"3" "JOLA" "main" 3 4.177479 66.62133 0.4573448 0.0455982
"4" "JOLA" "main" 4 1.001821 99.16452 0.5036467 0.06460909
"5" "JOLA" "main" 5 1.000023 80.78778 0.5421529 0.03748088
"6" "JOLA" "main" 1 1 95.10889 0.4605152 0.1445618
"7" "JOLA" "main" 2 1.000394 91.34707 0.1933269 0.4003466
"8" "JOLA" "main" 3 1.00013 95.56277 0.1337432 0.4456747
"9" "JOLA" "main" 4 1.000176 85.37192 0.5219235 0.05650016
"10" "JOLA" "main" 5 1.000009 107.361 0.1396488 0.4303832
"11" "JOLA" "main" 1 2.23395 74.95741 0.4595231 0.161079
"12" "JOLA" "main" 2 1.001679 93.08276 0.4968689 0.05733215
"13" "JOLA" "main" 3 1.001108 90.56326 0.2199318 0.3924069
"14" "JOLA" "main" 4 4.338677 122.2294 0.4402365 0.1903414
"15" "JOLA" "main" 5 1.000003 122.0944 0.4694676 0.08805148
"16" "JOLA" "main" 1 1.000153 118.9285 0.5360691 0.08743575
"17" "JOLA" "main" 2 1.002285 86.62192 0.4626628 0.1313474
"18" "JOLA" "main" 3 1.000991 98.18784 0.5582082 0.05328302
"19" "JOLA" "main" 4 1.000072 89.98574 0.536997 0.09059399
"20" "JOLA" "main" 5 1.025627 116.6218 0.5131942 0.06116079
"21" "JOLA" "main" 1 1.000572 102.0722 0.5422831 0.05486425
"22" "JOLA" "main" 2 4.312248 103.3929 0.1948717 0.335727
"23" "JOLA" "main" 3 1.000359 106.8042 0.5298406 0.06877293
"24" "JOLA" "main" 4 1.000005 78.29831 0.5910564 0.04774371
"25" "JOLA" "main" 5 3.257868 142.722 0.2591977 0.4180379
"26" "JOLA" "main" 1 5.873924 172.808 0.3186051 0.3953487
"27" "JOLA" "main" 2 1.00032 85.26217 0.5105226 0.0485529
"28" "JOLA" "main" 3 1.008573 100.0872 0.548936 0.07810423
"29" "JOLA" "main" 4 1.000018 118.1772 0.4895054 0.06121853
"30" "JOLA" "main" 5 3.719509 88.21369 0.4672543 0.1628583
"31" "JOLA" "main" 1 1.000075 114.3216 0.5040418 0.05673566
"32" "JOLA" "main" 2 1.023567 72.2235 0.5492593 0.05253174
"33" "JOLA" "main" 3 13.0395 147.2484 0.4225189 0.2295402
"34" "JOLA" "main" 4 1.001768 94.46018 0.5392604 0.03945326
"35" "JOLA" "main" 5 1.634131 71.27618 0.5284733 0.06525753
"36" "JOLA" "main" 1 1.000348 82.26128 0.4767981 0.111296
"37" "JOLA" "main" 2 2.157871 80.6038 0.5941358 0.04759574
"38" "JOLA" "main" 3 1.000044 103.8727 0.5307101 0.04836167
"39" "JOLA" "main" 4 1.002146 89.89633 0.5074906 0.05928867
"40" "JOLA" "main" 5 1.00024 102.0722 0.4718944 0.117245
"41" "JOLA" "main" 1 1.00035 95.76682 0.5671623 0.04721152
"42" "JOLA" "main" 2 2.69403 79.24484 0.4025653 0.1197643
"43" "JOLA" "main" 3 1.025836 99.59263 0.5055735 0.08696363
"44" "JOLA" "main" 4 1.000866 106.254 0.577693 0.04756007
"45" "JOLA" "main" 5 2.050925 82.06899 0.3085016 0.3947069
"46" "JOLA" "main" 1 4.487147 81.3613 0.4656239 0.04585527
"47" "JOLA" "main" 2 1.000025 110.7747 0.5044784 0.05282471
"48" "JOLA" "main" 3 1.000023 118.8096 0.5175836 0.07354076
"49" "JOLA" "main" 4 1.001196 74.91202 0.5123522 0.07851948
"50" "JOLA" "main" 5 1.000241 108.9938 0.5442338 0.09982127
"51" "JOLA" "main" 1 1.000483 127.7164 0.5336292 0.04870334
"52" "JOLA" "main" 2 1.000671 76.07097 0.5265931 0.03323792
"53" "JOLA" "main" 3 1.000001 82.72481 0.4616956 0.03602976
"54" "JOLA" "main" 4 3.389251 87.35701 0.3107951 0.3174817
"55" "JOLA" "main" 5 1.000005 109.0006 0.4031859 0.1445342
"56" "JOLA" "main" 1 1.000018 64.1172 0.4906181 0.05731108
"57" "JOLA" "main" 2 2.897653 125.8601 0.4682016 0.1656886
"58" "JOLA" "main" 3 1.012456 58.82112 0.5031148 0.04614085
"59" "JOLA" "main" 4 1.003292 119.9569 0.5114202 0.0432593
"60" "JOLA" "main" 5 1.000322 89.728 0.5074467 0.03792218
"61" "JOLA" "main" 1 2.263429 121.5938 0.3865147 0.2636175
"62" "JOLA" "main" 2 1.000086 103.4019 0.212207 0.4183139
"63" "JOLA" "main" 3 2.034446 107.1054 0.5054185 0.06672169
"64" "JOLA" "main" 4 3.184091 57.59514 0.3977163 0.2138587
"65" "JOLA" "main" 5 1.003004 166.6085 0.5941905 0.04363362
"66" "JOLA" "main" 1 1.990599 117.2532 0.5310745 0.03508206
"67" "JOLA" "main" 2 1.343997 97.35764 0.4274629 0.1771699
"68" "JOLA" "main" 3 1.000029 121.8733 0.5105134 0.05819841
"69" "JOLA" "main" 4 1.000045 67.51856 0.5559102 0.04509711
"70" "JOLA" "main" 5 1.000286 79.5508 0.5158969 0.07351848
"71" "JOLA" "main" 1 1.000003 84.38881 0.5084527 0.03948252
"72" "JOLA" "main" 2 1.003419 78.79602 0.5620755 0.03629274
"73" "JOLA" "main" 3 1.165771 126.4204 0.4540178 0.1277836
"74" "JOLA" "main" 4 1.000035 69.52713 0.5638694 0.05256902
"75" "JOLA" "main" 5 1.000319 65.14422 0.5104663 0.04349091
"76" "JOLA" "main" 1 1.000039 77.85512 0.5686508 0.04868029
"77" "JOLA" "main" 2 1.000009 64.35362 0.2819867 0.3222761
"78" "JOLA" "main" 3 1.000896 109.8994 0.4427222 0.1484527
"79" "JOLA" "main" 4 4.905637 89.03186 0.4996736 0.05195557
"80" "JOLA" "main" 5 1.000251 91.90421 0.4778592 0.04577296
"81" "JOLA" "main" 1 1.001388 74.19016 0.588286 0.05055452
"82" "JOLA" "main" 2 1.000002 62.29375 0.5117353 0.05530607
"83" "JOLA" "main" 3 1.000019 81.4439 0.5720879 0.03912501
"84" "JOLA" "main" 4 1.001248 93.44333 0.5026769 0.04417406
"85" "JOLA" "main" 5 1 98.20979 0.4339031 0.08368171
"86" "JOLA" "main" 1 1.000003 83.55466 0.2320668 0.3793047
"87" "JOLA" "main" 2 2.582928 72.92612 0.5503199 0.03131251
"88" "JOLA" "main" 3 1.008617 80.26261 0.1506645 0.37202
"89" "JOLA" "main" 4 1.118618 133.2196 0.5598823 0.1159972
"90" "JOLA" "main" 5 1.000245 85.30605 0.5337044 0.04586729
"91" "JOLA" "main" 1 1.000085 77.72583 0.4689832 0.1163366
"92" "JOLA" "main" 2 1.251025 91.51287 0.4410043 0.04163641
"93" "JOLA" "main" 3 1.000947 82.91291 0.5032624 0.04287443
"94" "JOLA" "main" 4 1.000784 138.2011 0.4797037 0.03371492
"95" "JOLA" "main" 5 1 70.7845 0.5412114 0.05378978
"96" "JOLA" "main" 1 1.000273 46.13961 0.5442206 0.04357148
"97" "JOLA" "main" 2 3.325668 100.8094 0.4641159 0.2030117
"98" "JOLA" "main" 3 2.369568 85.59089 0.4879361 0.04581554
"99" "JOLA" "main" 4 1.017124 128.3548 0.4290011 0.1571751
"100" "JOLA" "main" 5 1.000167 98.20276 0.337392 0.2355116
"101" "JOLA" "main.null" 1 1.21545 112.4268 0.4993886 0.03658244
"102" "JOLA" "main.null" 2 1.003393 88.38229 0.5471242 0.0473127
"103" "JOLA" "main.null" 3 1.060905 93.82004 0.5673026 0.02821917
"104" "JOLA" "main.null" 4 1.000416 80.58677 0.4932642 0.03930859
"105" "JOLA" "main.null" 5 3.359953 112.2894 0.4230346 0.0394993
"106" "JOLA" "main.null" 1 1.000108 81.09018 0.5101564 0.03647265
"107" "JOLA" "main.null" 2 1.000038 152.6513 0.5344953 0.02986494
"108" "JOLA" "main.null" 3 1.000208 142.5513 0.4813756 0.04025769
"109" "JOLA" "main.null" 4 1.000072 85.60767 0.4629471 0.02559869
"110" "JOLA" "main.null" 5 10.07304 132.5285 0.5151123 0.04578606
"111" "JOLA" "main.null" 1 1.001792 126.6876 0.5566009 0.0420107
"112" "JOLA" "main.null" 2 6.263014 126.9531 0.5119021 0.05850433
"113" "JOLA" "main.null" 3 1.000188 92.13882 0.5104145 0.03634805
"114" "JOLA" "main.null" 4 7.803585 104.8873 0.511757 0.04211938
"115" "JOLA" "main.null" 5 1.00136 99.26965 0.5106891 0.0342296
"116" "JOLA" "main.null" 1 1.000436 84.97347 0.5265969 0.02843665
"117" "JOLA" "main.null" 2 3.78823 110.6247 0.54846 0.02576973
"118" "JOLA" "main.null" 3 1.00043 149.4432 0.4817048 0.03569328
"119" "JOLA" "main.null" 4 1.000115 160.2972 0.4337184 0.05157924
"120" "JOLA" "main.null" 5 8.087053 135.0976 0.5296931 0.03612918
"121" "JOLA" "main.null" 1 1.651768 122.3957 0.5138756 0.04182455
"122" "JOLA" "main.null" 2 1.000463 78.89252 0.5047794 0.04012134
"123" "JOLA" "main.null" 3 1.000145 79.46606 0.4881969 0.04883721
"124" "JOLA" "main.null" 4 5.488968 130.2632 0.4639672 0.0312063
"125" "JOLA" "main.null" 5 1.000036 142.8308 0.515572 0.0389996
"126" "JOLA" "main.null" 1 9.263936 117.8579 0.3848554 0.03406328
"127" "JOLA" "main.null" 2 1.003821 106.8705 0.4730986 0.03089322
"128" "JOLA" "main.null" 3 1.000451 110.932 0.4681861 0.02668458
"129" "JOLA" "main.null" 4 1.002853 133.9697 0.5394353 0.06145266
"130" "JOLA" "main.null" 5 1.000188 124.3046 0.4735879 0.03317691
"131" "JOLA" "main.null" 1 1.000216 87.89608 0.5078768 0.02980193
"132" "JOLA" "main.null" 2 1.009922 161.8859 0.4695154 0.01878136
"133" "JOLA" "main.null" 3 3.033174 148.5891 0.5646539 0.04125864
"134" "JOLA" "main.null" 4 2.562919 111.4179 0.5333992 0.03691074
"135" "JOLA" "main.null" 5 1.001255 72.81983 0.4633824 0.04300722
"136" "JOLA" "main.null" 1 1.038398 88.20659 0.5231284 0.03375087
"137" "JOLA" "main.null" 2 1.002473 106.2057 0.4764189 0.04222447
"138" "JOLA" "main.null" 3 1.000082 134.5062 0.5258759 0.04830495
"139" "JOLA" "main.null" 4 1.00005 137.1073 0.5841471 0.04631242
"140" "JOLA" "main.null" 5 1.008481 98.14137 0.4791743 0.02682535
"141" "JOLA" "main.null" 1 1.000003 94.67208 0.5130947 0.02541221
"142" "JOLA" "main.null" 2 1.000137 68.5962 0.569635 0.03771961
"143" "JOLA" "main.null" 3 22.50541 109.3089 0.4803318 0.03601748
"144" "JOLA" "main.null" 4 1.00121 105.3474 0.5321226 0.03094034
"145" "JOLA" "main.null" 5 1.000588 78.95671 0.5244728 0.0336183
"146" "JOLA" "main.null" 1 5.304204 161.5598 0.5477437 0.04683295
"147" "JOLA" "main.null" 2 3.628853 111.25 0.523531 0.03361604
"148" "JOLA" "main.null" 3 1.000404 89.88473 0.5195817 0.05658765
"149" "JOLA" "main.null" 4 1.000851 72.41093 0.4916795 0.04593329
"150" "JOLA" "main.null" 5 1.003991 104.3321 0.4617716 0.03397209
"151" "JOLA" "main.null" 1 7.635142 137.8119 0.5101121 0.02883355
"152" "JOLA" "main.null" 2 1.00036 138.1054 0.4567522 0.03206354
"153" "JOLA" "main.null" 3 1.001426 78.94206 0.4951331 0.03601998
"154" "JOLA" "main.null" 4 1.000013 91.70816 0.465665 0.07908349
"155" "JOLA" "main.null" 5 1.000315 90.85732 0.503642 0.03716622
"156" "JOLA" "main.null" 1 2.607159 96.55077 0.4866032 0.03940354
"157" "JOLA" "main.null" 2 21.06272 109.8539 0.5584738 0.03037076
"158" "JOLA" "main.null" 3 3.039701 98.83469 0.4964794 0.04079229
"159" "JOLA" "main.null" 4 1.000979 96.83795 0.5131225 0.03102167
"160" "JOLA" "main.null" 5 17.40445 125.2558 0.5615065 0.03262301
"161" "JOLA" "main.null" 1 1.023895 81.68533 0.513778 0.0364054
"162" "JOLA" "main.null" 2 1.109773 95.64362 0.4858366 0.05883952
"163" "JOLA" "main.null" 3 1.002295 118.2013 0.5042191 0.04420922
"164" "JOLA" "main.null" 4 7.340728 182.5084 0.5514474 0.04414814
"165" "JOLA" "main.null" 5 12.27597 190.133 0.5003515 0.04358341
"166" "JOLA" "main.null" 1 1.280722 83.73858 0.5461031 0.03251729
"167" "JOLA" "main.null" 2 4.135262 124.9021 0.5063044 0.02939887
"168" "JOLA" "main.null" 3 1.023582 99.12653 0.4587783 0.05853839
"169" "JOLA" "main.null" 4 13.84082 148.6395 0.5137743 0.03377158
"170" "JOLA" "main.null" 5 3.209775 134.3258 0.5443767 0.02748605
"171" "JOLA" "main.null" 1 1.04126 162.7666 0.4774996 0.03008819
"172" "JOLA" "main.null" 2 1.000141 65.53789 0.5255964 0.02015866
"173" "JOLA" "main.null" 3 1.969226 106.9696 0.523128 0.0405887
"174" "JOLA" "main.null" 4 1.001144 166.7857 0.5258975 0.04758505
"175" "JOLA" "main.null" 5 7.997231 157.3752 0.4994911 0.05297888
"176" "JOLA" "main.null" 1 1.000135 41.74278 0.5127564 0.04537038
"177" "JOLA" "main.null" 2 1.000087 77.99969 0.5065495 0.04652345
"178" "JOLA" "main.null" 3 6.436229 95.84876 0.517915 0.03214272
"179" "JOLA" "main.null" 4 1.000001 111.3243 0.5074753 0.03455231
"180" "JOLA" "main.null" 5 1.000169 82.76596 0.5313304 0.0504935
"181" "JOLA" "main.null" 1 11.39381 127.8119 0.5251677 0.03356569
"182" "JOLA" "main.null" 2 1.00069 105.6288 0.5203802 0.03744642
"183" "JOLA" "main.null" 3 1.000761 118.7882 0.4126618 0.04636441
"184" "JOLA" "main.null" 4 1.000154 157.357 0.4492689 0.02638512
"185" "JOLA" "main.null" 5 1.311901 66.24811 0.5364387 0.04146313
"186" "JOLA" "main.null" 1 1.000243 84.71564 0.5519739 0.03725851
"187" "JOLA" "main.null" 2 1.550571 123.5816 0.4743325 0.04951699
"188" "JOLA" "main.null" 3 1.000258 92.82081 0.5128443 0.04145931
"189" "JOLA" "main.null" 4 3.05264 111.3613 0.5399316 0.04060279
"190" "JOLA" "main.null" 5 7.84072 120.844 0.5803272 0.03124465
"191" "JOLA" "main.null" 1 1.009001 81.44417 0.5289766 0.04003859
"192" "JOLA" "main.null" 2 1.002015 153.2258 0.4997717 0.03159511
"193" "JOLA" "main.null" 3 1.000205 91.15792 0.487499 0.06564642
"194" "JOLA" "main.null" 4 1.004068 121.3644 0.5865158 0.03069463
"195" "JOLA" "main.null" 5 1.000361 174.923 0.5880309 0.04537072
"196" "JOLA" "main.null" 1 1.516075 138.4958 0.4461251 0.05220022
"197" "JOLA" "main.null" 2 1.000003 97.17799 0.4985486 0.02944312
"198" "JOLA" "main.null" 3 1.249888 116.569 0.5161613 0.0249342
"199" "JOLA" "main.null" 4 5.757641 132.455 0.4804843 0.04700878
"200" "JOLA" "main.null" 5 1.000163 80.84262 0.4452701 0.04594217
"201" "WOLLOF" "main" 1 12.21363 72.33197 0.934869 0.4624566
"202" "WOLLOF" "main" 2 8.685748 69.96156 0.9293064 0.4752926
"203" "WOLLOF" "main" 3 9.422083 65.85547 0.9280078 0.4404352
"204" "WOLLOF" "main" 4 12.66199 89.59716 0.9260776 0.5194061
"205" "WOLLOF" "main" 5 9.135207 60.61414 0.9278421 0.4760507
