"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA" 0 0 0.837049854326073 0 0 0 0 0 0.162950145673927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WOLLOF" 0 0 0 0.246073653110697 0.0692958740045701 0.0342918881468583 0 0.535216239050096 0 0.115122345687779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANDINKAI" 0.394920647417233 0.0112928260307745 0 0.359892457725561 0 0.0318435127284901 0 0.167199788324115 0.0348507677738264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANDINKAII" 0 0.105496707446939 0.234916427057557 0 0.0960817294485598 0 0.0505328564814286 0.170317101104883 0.0799242017143099 0.262730976746322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SEREHULE" 0 0.0713973748366427 0 0.277175677508052 0 0.0125701105880657 0.191315647815265 0.0131616324112354 0 0.355938589451925 0.0552572124347942 0 0.0231837549540201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FULAI" 0 0.200386472899898 0 0 0.0842312891148186 0 0 0 0 0.679131436495778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0362508014895052 0 0 0 0 0 0 0 0
"MALINKE" 0 0 0 0.0110688418988962 0.102179003892756 0 0 0 0 0.389466955844111 0.447652647975855 0.0109073228580254 0.0205707045551285 0.018154522975228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SERERE" 0 0.310173595938639 0.151334030293435 0.30325691836273 0 0 0 0 0.0673935879156237 0.12199613361107 0 0.0155779131351453 0 0.0302678207433564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANJAGO" 0.187636201413082 0 0.117709025804825 0.424223409128457 0 0 0 0.161111003599243 0 0.0473826488275097 0 0.0377935607668014 0 0.0241441504600817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FULAII" 0 0.0432082790939546 0.0327735240450085 0.188749495633164 0.0763741118593332 0.0576993725084459 0.157614463986647 0.0702069934438524 0.0202078758614286 0 0.200012696670213 0.0706365977630793 0.0240950708531685 0.0277663897539877 0 0.0192120953302501 0.0114430331974673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
