"JOLA" "MANJAGO" "SEREHULE" "SERERE" "WOLLOF" "MANDINKAI" "MANDINKAII" "FULAI" "FULAII" "BAMBARA" "MALINKE" "MOSSI" "AKANS" "KASEM" "NAMKAM" "YRI" "BANTU" "SEMI.BANTU" "MALAWI" "LWK" "CHONYI" "KAUMA" "KAMBE" "GIRIAMA" "MZIGUA" "WABONDEI" "WASAMBAA" "MKK" "SUDANESE" "SOMALI" "ANUAK" "GUMUZ" "ARI" "AFAR" "TYGRAY" "AMHARA" "WOLAYTA" "OROMO" "SWBANTU" "NAMA" "SEBANTU" "AMAXHOSA" "KARRETJIE" "KHOMANI" "KHWE" "XUN" "GUIGHANAKGAL" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA" 0 0 0 0 0 0.654588616620602 0 0 0 0 0 0.110123375495146 0.102680000449818 0.0114811628835528 0.0286938028183841 0 0 0.0472953620299272 0 0 0 0 0 0 0 0 0 0 0 0 0.0338382243668729 0 0 0 0 0 0.0112994553356969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANJAGO" 0 0 0 0.072893525522041 0 0.164259973332487 0.0139650933253483 0 0.681590859816693 0 0 0.0284227799956542 0 0 0 0 0 0.0200130243633412 0 0 0 0 0 0 0 0 0 0 0 0 0.018854743644435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SEREHULE" 0.170819694470384 0 0 0 0.533263919936039 0 0 0.0427982400172456 0 0 0 0.0959521251187032 0.0786157063933257 0.0299689757420591 0 0.048581338322244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SERERE" 0.246920861736128 0.11627265990114 0 0 0.344301303691418 0 0 0 0.209431459981281 0 0 0.0302887581134172 0.0155739631359256 0 0 0.0372109934406903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WOLLOF" 0.598844116733746 0 0.0618608292693395 0.0895496631286724 0 0.0330843636295051 0 0.108849004209924 0 0 0 0.0498490554870835 0.0169652443494609 0 0.0187193643773128 0.0222783588149555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANDINKAI" 0.669897613808591 0 0 0 0 0 0 0.0905348941885421 0 0 0 0.0962730063565814 0.0706791941183398 0 0.0311632690171465 0 0 0.0244354977407107 0 0 0 0 0 0 0 0 0 0 0 0 0.0170165247700887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MANDINKAII" 0.0733685014848166 0 0 0 0.451202314925624 0.195053932001754 0 0 0.199573208334398 0 0 0.043931337770997 0.0245164863472804 0 0 0.0123542191351298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FULAI" 0 0 0 0 0.68839461860436 0 0 0 0 0 0 0.0741879065682615 0 0 0 0.0224002235591783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.044972303977844 0.0217793756372539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.121934971662704 0.0263305999903981 0 0 0 0 0 0 0
"FULAII" 0 0.356321795272225 0 0 0.292889061009158 0 0 0.0337092235777037 0 0 0 0.0783865118206638 0.138077221640867 0 0.0423514221851484 0.058264764494235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BAMBARA" 0.0517584438830016 0 0 0 0 0.1791862729756 0 0 0 0 0.259365677775259 0.15405810347901 0.173450525218422 0 0.0727441999421681 0.109436776726539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MALINKE" 0 0 0 0 0.215441949362132 0.254560197256113 0 0 0 0.147666013181385 0 0.113736888979104 0.122176580314293 0 0.0546686123453971 0.0917497585615751 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MOSSI" 0 0 0.0138326624578328 0 0 0 0.0264107178348054 0 0 0.0524107085784799 0.0198710482841231 0 0 0.158288548808926 0.708728708653445 0.020457605382388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AKANS" 0 0 0 0 0 0 0 0 0.0163975903575789 0 0 0 0 0.337162400087813 0.553526203365321 0.092913806189287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KASEM" 0 0 0 0 0 0 0 0 0 0.0401957796755642 0 0 0.103242403061999 0 0.856561817262437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
