,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult,FinalAnaly
9,SEREHULE,main,1D,52,0.11,0.943,1,1,GBR,JOLA,0.46,MANJAGO,BAMBARA,8,28,0.36,0.25,FULAI,SERERE,0.12,GBR,JOLA,0,100,84,34,(514B-921),34,24,(935-1225),14,2,(1515-1863),1D,main
7,MANDINKAII,main,1D,68,0.1,0.925,1,1,GBR,JOLA,0.3,JOLA,MALINKE,10,24,0.39,0.2,FULAI,JOLA,0.14,GBR,JOLA,0,100,109,29,(1244B-1066),28,20,(1123-1341),15,1,(1486-1892),1D,main
3,WOLLOF,main,1D,75,0.09,0.938,1,1,GBR,JOLA,0.4,MALINKE,JOLA,10,24,0.63,0.19,FULAI,JOLA,0.13,GBR,JOLA,0,100,93,54,(779B-355),27,20,(1138-1341),13,6,(1544-1733),1D,main
5,MANDINKAI,main,1D,77,0.15,0.806,1,1,GBR,JOLA,0.44,JOLA,SEREHULE,4,12,0.47,0.19,FULAI,JOLA,0.16,FULAI,JOLA,0,100,91,52,(718B-416),18,8,(1399-1689),6,1,(1747-1878),1D,main
15,SERERE,main,1D,93,0.08,0.885,1,1,GBR,JOLA,0.47,MANJAGO,FULAII,11,29,0.41,0.24,FULAI,JOLA,0.14,GBR,JOLA,0,100,126,57,(1740B-254),40,19,(761-1356),15,4,(1500-1791),1D,main
11,FULAI,main,1D,58,0.19,0.969,1,1,IBS,WOLLOF,0.44,WOLLOF,WOLLOF,9,24,0.82,0.46,BAMBARA,IBS,0.23,IBS,SEREHULE,0,100,59,40,(224-761),28,23,(1109-1254),10,1,(1631-1878),1D,main
21,BAMBARA,main,1D,61,0.06,0.901,1,1,CEU,MALINKE,0.3,SERERE,MALINKE,6,19,0.36,0.21,FULAI,MALINKE,0.11,GBR,MALINKE,0,100,90,35,(675B-906),26,14,(1181-1501),10,1,(1631-1892),1D,main
19,FULAII,main,1D,64,0.1,0.939,1,1,GBR,MALINKE,0.39,SERERE,BAMBARA,9,18,0.57,0.23,FULAI,MALINKE,0.13,GBR,MALINKE,0,100,75,36,(253B-876),21,15,(1312-1472),11,3,(1602-1834),1D,main
17,MANJAGO,main,1D,52,0.21,0.779,0.985,1,FULAI,JOLA,0.39,SERERE,SEREHULE,1,6,0.5,0.23,FULAI,JOLA,0.18,FULAI,JOLA,0,100,121,7,(1590B-1718),7,3,(1718-1834),5,1,(1790-1892),1D,main
1,JOLA,main,1D,95,0.17,0.642,1,1,FULAI,SERERE,0.49,MANDINKAI,MALINKE,1,74,0.08,0.44,MANJAGO,WOLLOF,0.18,FULAI,SERERE,0,100,145,60,(2287B-169),103,4,(1067B-1791),5,1,(1790-1892),1D,main
13,MALINKE,main,1D,55,0.11,0.91,1,1,GBR,BAMBARA,0.31,SERERE,BAMBARA,7,16,0.5,0.24,FULAI,FULAII,0.14,GBR,BAMBARA,0,100,85,36,(544B-865),19,11,(1384-1602),9,3,(1674-1834),1D,main
27,YRI,main,1D,37,0.48,0.465,0.999,1,SEMI.BANTU,AKANS,0.29,AKANS,AKANS,26,118,0.03,0.49,AKANS,SEMI.BANTU,0.25,MOSSI,SEMI.BANTU,0,100,55,25,(338-1184),166,25,(2896B-1182),31,1,(1036-1892),1D,main
29,KASEM,main,1D,38,0.1,0.305,0.997,1,SEMI.BANTU,MOSSI,0.37,MOSSI,NAMKAM,1,39,0.03,0.45,MOSSI,MOSSI,0.07,SEMI.BANTU,MOSSI,0,100,51,20,(456-1329),429,17,(10518B-1414),22,1,(1282-1892),1D,main
31,NAMKAM,main,1D,45,0.11,0.197,0.996,0.999,SEMI.BANTU,MOSSI,0.15,MOSSI,KASEM,1,57,0.02,0.4,AKANS,MOSSI,0.12,SEMI.BANTU,MOSSI,0,100,73,25,(184B-1197),117,25,(1458B-1196),33,1,(973-1892),1D,main
33,SEMI.BANTU,main,1D,43,0.2,0.43,0.999,1,MZIGUA,YRI,0.36,YRI,YRI,26,66,0.03,0.19,MZIGUA,YRI,0.42,MALAWI,YRI,0,100,60,27,(192-1126),NA,NA,NA,NA,NA,NA,1D,main
35,BANTU,main,1D,66,0.34,0.447,0.995,0.999,MALAWI,YRI,0.31,MALAWI,MALAWI,5,70,0.05,0.43,MZIGUA,MALAWI,0.36,MALAWI,YRI,0,100,88,45,(617B-602),91,49,(718B-503),22,1,(1295-1892),1D,main
