,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
21,JOLACEU400g90p,main,1D,6.87212847278114,0.49,0.739,0.989,0.999,WOLLOF,FULAI,0.43,FULAI,MANJAGO,5.62974304400451,140.688527794322,0.07,0.47,WOLLOF,FULAI,0.4,MANJAGO,FULAI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
102,MALAWIJOLA100g95p,ancient,2D,40.5791166052559,0.13,0.859,0.991,0.998,MZIGUA,MZIGUA,0.19,SEBANTU,MZIGUA,74.1560319652749,106.678784580115,0.73,0.16,MANDINKAI,MZIGUA,0.15,AMAXHOSA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
100,MALAWIJOLA100g90p,ancient,2D,52.4212815678941,0.24,0.934,0.999,1,MANDINKAII,MZIGUA,0.2,SEBANTU,MZIGUA,68.167029903953,178.512524991068,0.69,0.17,MANDINKAI,MZIGUA,0.24,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
98,MALAWIJOLA100g80p,ancient,2D,77.6308746337891,0.26,0.95,1,1,MANDINKAI,MZIGUA,0.2,SEBANTU,MZIGUA,145.280170238805,145.615742947329,0.57,0.31,MANDINKAI,MZIGUA,0.19,KARRETJIE,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
73,JUHOANJOLA100g80p,main,2D,81.2984008789062,0.32,0.941,0.999,1,MANDINKAI,KARRETJIE,0.15,SEMI.BANTU,XUN,5.85457296203702,98.3909041471768,0.61,0.03,MANDINKAII,XUN,0.31,MANDINKAI,KARRETJIE,1,0,87,74,(605B-234B),NA,NA,NA,NA,NA,NA,1D
13,JOLACEU300g80p,main,2D,5.09284537354605,0.37,0.716,0.838,0.999,FULAI,FULAI,0.36,FULAI,FULAI,4.21152420502841,253.29098693029,0.52,0.32,FULAI,FULAI,0.18,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
19,JOLACEU400g80p,main,1MW,6.14212815678941,0.41,0.644,0.922,0.999,FULAI,FULAI,0.48,FULAI,FULAI,4.28077513115451,106.698960395937,0.09,0.45,FULAI,FULAI,0.29,WOLLOF,FULAI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
15,JOLACEU300g90p,main,1D,7.27384007373499,0.43,0.717,0.983,1,FULAI,WOLLOF,0.49,FULAI,MANJAGO,5.04040586525599,109.968774545649,0.25,0.41,FULAI,FULAI,0.44,FULAI,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
22,JOLACEU400g90p,ancient,2D,39.6996081310215,0.37,0.612,0.973,1,SERERE,FULAI,0.36,MANJAGO,FULAI,1.00002995503155,153.627286120483,0.5,0.48,FULAI,FULAI,0.45,FULAI,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
2,JOLACEU100g80p,ancient,2D,91.5842933654785,0.21,0.995,1,1,GBR,SERERE,0.44,FULAI,FULAI,9.84277212036218,95.9210218462195,0.46,0.33,FULAI,FULAI,0.2,GBR,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
