Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult,FinalAnaly
MZIGUA,main.null,1D,31,0.09,0.986,0.999,1,AFAR,WABONDEI,0.23,SEMI.BANTU,MALAWI,20,57,0.18,0.17,WASAMBAA,WABONDEI,0.1,AFAR,WABONDEI,0,0,34,28,(935-1095),80,36,(385B-863),28,4,(1108-1791),1D,main
MZIGUA,main,1D,29,0.11,0.988,0.999,1,AFAR,WABONDEI,0.32,LWK,MALAWI,25,79,0.19,0.13,WASAMBAA,WABONDEI,0.12,WASAMBAA,WABONDEI,0,100,32,27,(1007-1138),106,32,(1156B-993),28,6,(1109-1733),1D,main
WASAMBAA,main.null,1D,23,0.15,0.988,1,1,AMHARA,MZIGUA,0.29,LWK,MALAWI,15,59,0.34,0.15,AMHARA,MZIGUA,0.13,OROMO,MZIGUA,0,0,24,20,(1225-1341),76,29,(283B-1066),19,2,(1384-1863),1D,main
GUMUZ,main,1D,13,0.24,0.785,0.987,0.999,ARI,ANUAK,0.42,ANUAK,ANUAK,6,114,0.26,0.27,ARI,ANUAK,0.21,WOLAYTA,ANUAK,0,100,19,7,(1384-1718),194,19,(3694B-1358),10,1,(1631-1892),1D,main
CHONYI,main.null,1D,28,0.07,0.988,0.975,1,CDX,GIRIAMA,0.3,LWK,MALAWI,22,75,0.24,0.13,CDX,WASAMBAA,0.06,KHV,MZIGUA,0,0,31,27,(1022-1138),129,37,(1827B-848),26,10,(1167-1632),1D,main
KHOMANI,main.null,1D,5,0.13,0.998,0.999,1,CEU,KARRETJIE,0.27,SWBANTU,KARRETJIE,5,117,0.09,0.13,CEU,KARRETJIE,0.21,IBS,KARRETJIE,0,0,6,4,(1747-1805),106,5,(1142B-1776),6,1,(1747-1892),1D,main.null
KHOMANI,main,1D,5,0.13,0.998,0.999,1,CEU,KARRETJIE,0.27,SWBANTU,KARRETJIE,5,77,0.18,0.13,CEU,KARRETJIE,0.19,WOLAYTA,KARRETJIE,0,100,6,4,(1747-1805),79,5,(356B-1762),6,3,(1747-1820),1D,main.null
BAMBARA,main,2D,61,0.06,0.901,1,1,CEU,MALINKE,0.3,SERERE,MALINKE,6,19,0.36,0.21,FULAI,MALINKE,0.11,GBR,MALINKE,0,100,90,35,(675B-906),26,14,(1181-1501),10,1,(1631-1892),1D,main
BAMBARA,main.null,1D,68,0.06,0.897,1,1,CEU,MALINKE,0.22,SERERE,MALINKE,7,20,0.31,0.2,FULAI,MALINKE,0.1,GBR,MALINKE,0,0,117,38,(1473B-819),26,16,(1167-1457),14,1,(1529-1892),1D,main
MANJAGO,main,2D,52,0.21,0.779,0.985,1,FULAI,JOLA,0.39,SERERE,SEREHULE,1,6,0.5,0.23,FULAI,JOLA,0.18,FULAI,JOLA,0,100,121,7,(1590B-1718),7,3,(1718-1834),5,1,(1790-1892),1D,main
MANJAGO,main.null,2D,55,0.2,0.766,0.989,1,FULAI,SERERE,0.38,SERERE,WOLLOF,1,5,0.48,0.17,FULAI,JOLA,0.19,FULAI,JOLA,0,0,97,9,(880B-1660),7,2,(1718-1863),4,1,(1805-1892),1D,main
JOLA,main,1D,95,0.17,0.642,1,1,FULAI,SERERE,0.49,MANDINKAI,MALINKE,1,74,0.08,0.44,MANJAGO,WOLLOF,0.18,FULAI,SERERE,0,100,145,60,(2287B-169),103,4,(1067B-1791),5,1,(1790-1892),1D,main
MANDINKAI,main.null,2D,81,0.15,0.796,1,1,GBR,JOLA,0.49,SEREHULE,JOLA,4,13,0.42,0.19,FULAI,JOLA,0.16,FULAI,JOLA,0,0,90,57,(690B-256),20,8,(1355-1675),6,2,(1747-1863),1D,main
MANDINKAI,main,2D,77,0.15,0.806,1,1,GBR,JOLA,0.44,JOLA,SEREHULE,4,12,0.47,0.19,FULAI,JOLA,0.16,FULAI,JOLA,0,100,91,52,(718B-416),18,8,(1399-1689),6,1,(1747-1878),1D,main
MALINKE,main.null,2D,54,0.08,0.916,1,1,GBR,BAMBARA,0.39,JOLA,BAMBARA,7,19,0.43,0.23,FULAI,BAMBARA,0.12,GBR,BAMBARA,0,0,87,40,(591B-747),20,11,(1355-1602),10,3,(1645-1834),1D,main
MALINKE,main,2D,55,0.11,0.91,1,1,GBR,BAMBARA,0.31,SERERE,BAMBARA,7,16,0.5,0.24,FULAI,FULAII,0.14,GBR,BAMBARA,0,100,85,36,(544B-865),19,11,(1384-1602),9,3,(1674-1834),1D,main
SEREHULE,main,2D,52,0.11,0.943,1,1,GBR,JOLA,0.46,MANJAGO,BAMBARA,8,28,0.36,0.25,FULAI,SERERE,0.12,GBR,JOLA,0,100,84,34,(514B-921),34,24,(935-1225),14,2,(1515-1863),1D,main
FULAII,main.null,2D,68,0.11,0.939,1,1,GBR,MALINKE,0.14,SERERE,MALINKE,9,18,0.56,0.23,FULAI,MALINKE,0.13,GBR,MALINKE,0,0,83,35,(472B-906),22,16,(1283-1457),11,3,(1602-1834),1D,main
FULAII,main,2D,64,0.1,0.939,1,1,GBR,MALINKE,0.39,SERERE,BAMBARA,9,18,0.57,0.23,FULAI,MALINKE,0.13,GBR,MALINKE,0,100,75,36,(253B-876),21,15,(1312-1472),11,3,(1602-1834),1D,main
WOLLOF,main,2D,75,0.09,0.938,1,1,GBR,JOLA,0.4,MALINKE,JOLA,10,24,0.63,0.19,FULAI,JOLA,0.13,GBR,JOLA,0,100,93,54,(779B-355),27,20,(1138-1341),13,6,(1544-1733),1D,main
MANDINKAII,main,2D,68,0.1,0.925,1,1,GBR,JOLA,0.3,JOLA,MALINKE,10,24,0.39,0.2,FULAI,JOLA,0.14,GBR,JOLA,0,100,109,29,(1244B-1066),28,20,(1123-1341),15,1,(1486-1892),1D,main
SERERE,main.null,2D,99,0.08,0.878,1,1,GBR,JOLA,0.34,FULAII,MANJAGO,11,30,0.38,0.24,FULAI,JOLA,0.14,GBR,JOLA,0,0,135,59,(1986B-211),40,19,(761-1356),14,4,(1515-1805),1D,main
SERERE,main,2D,93,0.08,0.885,1,1,GBR,JOLA,0.47,MANJAGO,FULAII,11,29,0.41,0.24,FULAI,JOLA,0.14,GBR,JOLA,0,100,126,57,(1740B-254),40,19,(761-1356),15,4,(1500-1791),1D,main
WOLLOF,main.null,2D,80,0.08,0.942,1,1,GBR,JOLA,0.36,FULAII,MANDINKAI,12,26,0.58,0.19,FULAI,JOLA,0.12,GBR,JOLA,0,0,99,53,(951B-370),29,22,(1080-1283),14,5,(1515-1762),1D,main
MANDINKAII,main.null,2D,70,0.17,0.923,1,1,GBR,JOLA,0.43,JOLA,FULAII,12,25,0.38,0.24,FULAI,JOLA,0.19,FULAI,JOLA,0,0,95,27,(843B-1138),30,20,(1051-1327),15,1,(1500-1892),1D,main
SEREHULE,main.null,1D,67,0.08,0.94,1,1,GBR,JOLA,0.41,JOLA,MALINKE,13,29,0.35,0.22,FULAI,JOLA,0.09,GBR,JOLA,0,0,108,38,(1204B-822),33,24,(964-1225),21,3,(1326-1834),1D,main
KARRETJIE,main.null,1D,5,0.1,0.997,0.999,1,GBR,GUIGHANAKGAL,0.21,CDX,KHOMANI,4,9,0.33,0.09,GBR,GUIGHANAKGAL,0.37,AMAXHOSA,KHOMANI,0,0,5,4,(1776-1805),29,5,(1092-1776),6,1,(1747-1892),1D,main.null
